iter 80829, val_unseen , nav_error: 5.4076, oracle_error: 3.3565, steps: 32.2691, lengths: 11.8977, success_rate: 0.4870, oracle_rate: 0.5900, spl: 0.4396, val_seen , nav_error: 5.3713, oracle_error: 3.4304, steps: 31.0235, lengths: 11.5209, success_rate: 0.5005, oracle_rate: 0.6004, spl: 0.4576, train , nav_error: 2.6087, oracle_error: 1.6587, steps: 28.8233, lengths: 10.9700, success_rate: 0.7394, oracle_rate: 0.8126, spl: 0.6940
BEST RESULT TILL NOW: val_seen | Iter 80829 iter 80829, val_unseen , nav_error: 5.4076, oracle_error: 3.3565, steps: 32.2691, lengths: 11.8977, success_rate: 0.4870, oracle_rate: 0.5900, spl: 0.4396, val_seen , nav_error: 5.3713, oracle_error: 3.4304, steps: 31.0235, lengths: 11.5209, success_rate: 0.5005, oracle_rate: 0.6004, spl: 0.4576, train , nav_error: 2.6087, oracle_error: 1.6587, steps: 28.8233, lengths: 10.9700, success_rate: 0.7394, oracle_rate: 0.8126, spl: 0.6940
BEST RESULT TILL NOW: val_unseen | Iter 80829 iter 80829, val_unseen , nav_error: 5.4076, oracle_error: 3.3565, steps: 32.2691, lengths: 11.8977, success_rate: 0.4870, oracle_rate: 0.5900, spl: 0.4396, val_seen , nav_error: 5.3713, oracle_error: 3.4304, steps: 31.0235, lengths: 11.5209, success_rate: 0.5005, oracle_rate: 0.6004, spl: 0.4576, train , nav_error: 2.6087, oracle_error: 1.6587, steps: 28.8233, lengths: 10.9700, success_rate: 0.7394, oracle_rate: 0.8126, spl: 0.6940
iter 233, val_unseen , nav_error: 7.9961, oracle_error: 4.9729, steps: 24.5317, lengths: 9.7879, success_rate: 0.2844, oracle_rate: 0.3857, spl: 0.2583, val_seen , nav_error: 8.0597, oracle_error: 5.2062, steps: 26.1518, lengths: 9.9813, success_rate: 0.2948, oracle_rate: 0.3879, spl: 0.2745, train , nav_error: 7.8851, oracle_error: 5.0414, steps: 25.3490, lengths: 9.8604, success_rate: 0.2957, oracle_rate: 0.3996, spl: 0.2715
BEST RESULT TILL NOW: val_seen | Iter 233 iter 233, val_unseen , nav_error: 7.9961, oracle_error: 4.9729, steps: 24.5317, lengths: 9.7879, success_rate: 0.2844, oracle_rate: 0.3857, spl: 0.2583, val_seen , nav_error: 8.0597, oracle_error: 5.2062, steps: 26.1518, lengths: 9.9813, success_rate: 0.2948, oracle_rate: 0.3879, spl: 0.2745, train , nav_error: 7.8851, oracle_error: 5.0414, steps: 25.3490, lengths: 9.8604, success_rate: 0.2957, oracle_rate: 0.3996, spl: 0.2715
BEST RESULT TILL NOW: val_unseen | Iter 233 iter 233, val_unseen , nav_error: 7.9961, oracle_error: 4.9729, steps: 24.5317, lengths: 9.7879, success_rate: 0.2844, oracle_rate: 0.3857, spl: 0.2583, val_seen , nav_error: 8.0597, oracle_error: 5.2062, steps: 26.1518, lengths: 9.9813, success_rate: 0.2948, oracle_rate: 0.3879, spl: 0.2745, train , nav_error: 7.8851, oracle_error: 5.0414, steps: 25.3490, lengths: 9.8604, success_rate: 0.2957, oracle_rate: 0.3996, spl: 0.2715
iter 460, val_unseen , nav_error: 7.0753, oracle_error: 4.7578, steps: 22.5688, lengths: 8.8513, success_rate: 0.3261, oracle_rate: 0.3993, spl: 0.3080, val_seen , nav_error: 7.4344, oracle_error: 5.2582, steps: 21.9677, lengths: 8.8362, success_rate: 0.2831, oracle_rate: 0.3428, spl: 0.2691, train , nav_error: 6.9010, oracle_error: 4.8357, steps: 22.3442, lengths: 8.8662, success_rate: 0.3453, oracle_rate: 0.4138, spl: 0.3287
BEST RESULT TILL NOW: val_seen | Iter 233 iter 233, val_unseen , nav_error: 7.9961, oracle_error: 4.9729, steps: 24.5317, lengths: 9.7879, success_rate: 0.2844, oracle_rate: 0.3857, spl: 0.2583, val_seen , nav_error: 8.0597, oracle_error: 5.2062, steps: 26.1518, lengths: 9.9813, success_rate: 0.2948, oracle_rate: 0.3879, spl: 0.2745, train , nav_error: 7.8851, oracle_error: 5.0414, steps: 25.3490, lengths: 9.8604, success_rate: 0.2957, oracle_rate: 0.3996, spl: 0.2715
BEST RESULT TILL NOW: val_unseen | Iter 460 iter 460, val_unseen , nav_error: 7.0753, oracle_error: 4.7578, steps: 22.5688, lengths: 8.8513, success_rate: 0.3261, oracle_rate: 0.3993, spl: 0.3080, val_seen , nav_error: 7.4344, oracle_error: 5.2582, steps: 21.9677, lengths: 8.8362, success_rate: 0.2831, oracle_rate: 0.3428, spl: 0.2691, train , nav_error: 6.9010, oracle_error: 4.8357, steps: 22.3442, lengths: 8.8662, success_rate: 0.3453, oracle_rate: 0.4138, spl: 0.3287
iter 669, val_unseen , nav_error: 7.4071, oracle_error: 4.5805, steps: 24.8825, lengths: 9.7518, success_rate: 0.3206, oracle_rate: 0.4300, spl: 0.2949, val_seen , nav_error: 7.8274, oracle_error: 4.9525, steps: 25.4290, lengths: 10.0646, success_rate: 0.3085, oracle_rate: 0.4221, spl: 0.2863, train , nav_error: 7.1118, oracle_error: 4.5136, steps: 25.0197, lengths: 10.0467, success_rate: 0.3436, oracle_rate: 0.4591, spl: 0.3149
BEST RESULT TILL NOW: val_seen | Iter 669 iter 669, val_unseen , nav_error: 7.4071, oracle_error: 4.5805, steps: 24.8825, lengths: 9.7518, success_rate: 0.3206, oracle_rate: 0.4300, spl: 0.2949, val_seen , nav_error: 7.8274, oracle_error: 4.9525, steps: 25.4290, lengths: 10.0646, success_rate: 0.3085, oracle_rate: 0.4221, spl: 0.2863, train , nav_error: 7.1118, oracle_error: 4.5136, steps: 25.0197, lengths: 10.0467, success_rate: 0.3436, oracle_rate: 0.4591, spl: 0.3149
