iter 95, val_unseen , nav_error: 8.7172, oracle_error: 5.5915, steps: 20.1550, lengths: 9.0365, cls: 0.4400, ndtw: 0.3087, sdtw: 0.1777, success_rate: 0.2490, oracle_rate: 0.3099, spl: 0.2289, val_seen , nav_error: 8.1688, oracle_error: 5.6364, steps: 21.8227, lengths: 8.9612, cls: 0.4870, ndtw: 0.3568, sdtw: 0.2052, success_rate: 0.2782, oracle_rate: 0.3428, spl: 0.2637, train , nav_error: 8.4784, oracle_error: 5.6494, steps: 21.4990, lengths: 8.9396, cls: 0.4649, ndtw: 0.3265, sdtw: 0.1880, success_rate: 0.2564, oracle_rate: 0.3287, spl: 0.2403
BEST RESULT TILL NOW: val_seen | Iter 95 iter 95, val_unseen , nav_error: 8.7172, oracle_error: 5.5915, steps: 20.1550, lengths: 9.0365, cls: 0.4400, ndtw: 0.3087, sdtw: 0.1777, success_rate: 0.2490, oracle_rate: 0.3099, spl: 0.2289, val_seen , nav_error: 8.1688, oracle_error: 5.6364, steps: 21.8227, lengths: 8.9612, cls: 0.4870, ndtw: 0.3568, sdtw: 0.2052, success_rate: 0.2782, oracle_rate: 0.3428, spl: 0.2637, train , nav_error: 8.4784, oracle_error: 5.6494, steps: 21.4990, lengths: 8.9396, cls: 0.4649, ndtw: 0.3265, sdtw: 0.1880, success_rate: 0.2564, oracle_rate: 0.3287, spl: 0.2403
BEST RESULT TILL NOW: val_unseen | Iter 95 iter 95, val_unseen , nav_error: 8.7172, oracle_error: 5.5915, steps: 20.1550, lengths: 9.0365, cls: 0.4400, ndtw: 0.3087, sdtw: 0.1777, success_rate: 0.2490, oracle_rate: 0.3099, spl: 0.2289, val_seen , nav_error: 8.1688, oracle_error: 5.6364, steps: 21.8227, lengths: 8.9612, cls: 0.4870, ndtw: 0.3568, sdtw: 0.2052, success_rate: 0.2782, oracle_rate: 0.3428, spl: 0.2637, train , nav_error: 8.4784, oracle_error: 5.6494, steps: 21.4990, lengths: 8.9396, cls: 0.4649, ndtw: 0.3265, sdtw: 0.1880, success_rate: 0.2564, oracle_rate: 0.3287, spl: 0.2403
iter 189, val_unseen , nav_error: 8.1862, oracle_error: 5.2855, steps: 20.0732, lengths: 8.8586, cls: 0.4751, ndtw: 0.3433, sdtw: 0.2039, success_rate: 0.2776, oracle_rate: 0.3401, spl: 0.2593, val_seen , nav_error: 7.6723, oracle_error: 5.3435, steps: 21.6298, lengths: 8.8027, cls: 0.5181, ndtw: 0.3828, sdtw: 0.2256, success_rate: 0.3036, oracle_rate: 0.3624, spl: 0.2918, train , nav_error: 7.7538, oracle_error: 5.2789, steps: 21.0737, lengths: 8.8465, cls: 0.5022, ndtw: 0.3697, sdtw: 0.2250, success_rate: 0.2987, oracle_rate: 0.3671, spl: 0.2827
BEST RESULT TILL NOW: val_seen | Iter 189 iter 189, val_unseen , nav_error: 8.1862, oracle_error: 5.2855, steps: 20.0732, lengths: 8.8586, cls: 0.4751, ndtw: 0.3433, sdtw: 0.2039, success_rate: 0.2776, oracle_rate: 0.3401, spl: 0.2593, val_seen , nav_error: 7.6723, oracle_error: 5.3435, steps: 21.6298, lengths: 8.8027, cls: 0.5181, ndtw: 0.3828, sdtw: 0.2256, success_rate: 0.3036, oracle_rate: 0.3624, spl: 0.2918, train , nav_error: 7.7538, oracle_error: 5.2789, steps: 21.0737, lengths: 8.8465, cls: 0.5022, ndtw: 0.3697, sdtw: 0.2250, success_rate: 0.2987, oracle_rate: 0.3671, spl: 0.2827
BEST RESULT TILL NOW: val_unseen | Iter 189 iter 189, val_unseen , nav_error: 8.1862, oracle_error: 5.2855, steps: 20.0732, lengths: 8.8586, cls: 0.4751, ndtw: 0.3433, sdtw: 0.2039, success_rate: 0.2776, oracle_rate: 0.3401, spl: 0.2593, val_seen , nav_error: 7.6723, oracle_error: 5.3435, steps: 21.6298, lengths: 8.8027, cls: 0.5181, ndtw: 0.3828, sdtw: 0.2256, success_rate: 0.3036, oracle_rate: 0.3624, spl: 0.2918, train , nav_error: 7.7538, oracle_error: 5.2789, steps: 21.0737, lengths: 8.8465, cls: 0.5022, ndtw: 0.3697, sdtw: 0.2250, success_rate: 0.2987, oracle_rate: 0.3671, spl: 0.2827
iter 276, val_unseen , nav_error: 7.7518, oracle_error: 5.0064, steps: 22.3793, lengths: 9.0538, cls: 0.4919, ndtw: 0.3559, sdtw: 0.2166, success_rate: 0.2912, oracle_rate: 0.3674, spl: 0.2713, val_seen , nav_error: 7.5830, oracle_error: 5.1056, steps: 24.4427, lengths: 9.3240, cls: 0.5185, ndtw: 0.3769, sdtw: 0.2337, success_rate: 0.3242, oracle_rate: 0.3898, spl: 0.3056, train , nav_error: 7.4818, oracle_error: 4.9905, steps: 23.5946, lengths: 9.2502, cls: 0.5124, ndtw: 0.3721, sdtw: 0.2356, success_rate: 0.3178, oracle_rate: 0.4022, spl: 0.2962
BEST RESULT TILL NOW: val_seen | Iter 276 iter 276, val_unseen , nav_error: 7.7518, oracle_error: 5.0064, steps: 22.3793, lengths: 9.0538, cls: 0.4919, ndtw: 0.3559, sdtw: 0.2166, success_rate: 0.2912, oracle_rate: 0.3674, spl: 0.2713, val_seen , nav_error: 7.5830, oracle_error: 5.1056, steps: 24.4427, lengths: 9.3240, cls: 0.5185, ndtw: 0.3769, sdtw: 0.2337, success_rate: 0.3242, oracle_rate: 0.3898, spl: 0.3056, train , nav_error: 7.4818, oracle_error: 4.9905, steps: 23.5946, lengths: 9.2502, cls: 0.5124, ndtw: 0.3721, sdtw: 0.2356, success_rate: 0.3178, oracle_rate: 0.4022, spl: 0.2962
BEST RESULT TILL NOW: val_unseen | Iter 276 iter 276, val_unseen , nav_error: 7.7518, oracle_error: 5.0064, steps: 22.3793, lengths: 9.0538, cls: 0.4919, ndtw: 0.3559, sdtw: 0.2166, success_rate: 0.2912, oracle_rate: 0.3674, spl: 0.2713, val_seen , nav_error: 7.5830, oracle_error: 5.1056, steps: 24.4427, lengths: 9.3240, cls: 0.5185, ndtw: 0.3769, sdtw: 0.2337, success_rate: 0.3242, oracle_rate: 0.3898, spl: 0.3056, train , nav_error: 7.4818, oracle_error: 4.9905, steps: 23.5946, lengths: 9.2502, cls: 0.5124, ndtw: 0.3721, sdtw: 0.2356, success_rate: 0.3178, oracle_rate: 0.4022, spl: 0.2962
iter 380, val_unseen , nav_error: 7.3965, oracle_error: 4.8660, steps: 21.5168, lengths: 8.8566, cls: 0.5088, ndtw: 0.3759, sdtw: 0.2233, success_rate: 0.3048, oracle_rate: 0.3797, spl: 0.2851, val_seen , nav_error: 7.2275, oracle_error: 4.9934, steps: 23.0049, lengths: 9.1105, cls: 0.5350, ndtw: 0.4023, sdtw: 0.2447, success_rate: 0.3271, oracle_rate: 0.3967, spl: 0.3113, train , nav_error: 7.1486, oracle_error: 4.8438, steps: 22.5134, lengths: 9.0445, cls: 0.5325, ndtw: 0.3979, sdtw: 0.2505, success_rate: 0.3321, oracle_rate: 0.4122, spl: 0.3138
BEST RESULT TILL NOW: val_seen | Iter 380 iter 380, val_unseen , nav_error: 7.3965, oracle_error: 4.8660, steps: 21.5168, lengths: 8.8566, cls: 0.5088, ndtw: 0.3759, sdtw: 0.2233, success_rate: 0.3048, oracle_rate: 0.3797, spl: 0.2851, val_seen , nav_error: 7.2275, oracle_error: 4.9934, steps: 23.0049, lengths: 9.1105, cls: 0.5350, ndtw: 0.4023, sdtw: 0.2447, success_rate: 0.3271, oracle_rate: 0.3967, spl: 0.3113, train , nav_error: 7.1486, oracle_error: 4.8438, steps: 22.5134, lengths: 9.0445, cls: 0.5325, ndtw: 0.3979, sdtw: 0.2505, success_rate: 0.3321, oracle_rate: 0.4122, spl: 0.3138
