iter 162450, train , nav_error: 1.7408, oracle_error: 1.1606, steps: 28.4891, lengths: 11.0870, success_rate: 0.8282, oracle_rate: 0.8781, spl: 0.7896, val_seen , nav_error: 4.0417, oracle_error: 2.6051, steps: 33.1077, lengths: 12.4813, success_rate: 0.6033, oracle_rate: 0.7013, spl: 0.5642, val_unseen , nav_error: 4.9761, oracle_error: 3.0876, steps: 40.7101, lengths: 14.6144, success_rate: 0.5317, oracle_rate: 0.6373, spl: 0.4835
BEST RESULT TILL NOW: val_seen | Iter 161042 iter 161042, train , nav_error: 1.4022, oracle_error: 0.9579, steps: 28.1600, lengths: 11.0083, success_rate: 0.8619, oracle_rate: 0.9016, spl: 0.8267, val_seen , nav_error: 4.1082, oracle_error: 2.5684, steps: 35.6964, lengths: 13.6468, success_rate: 0.6112, oracle_rate: 0.7042, spl: 0.5664, val_unseen , nav_error: 4.9603, oracle_error: 3.0329, steps: 43.1984, lengths: 15.5211, success_rate: 0.5377, oracle_rate: 0.6492, spl: 0.4883
BEST RESULT TILL NOW: val_unseen | Iter 162450 iter 162450, train , nav_error: 1.7408, oracle_error: 1.1606, steps: 28.4891, lengths: 11.0870, success_rate: 0.8282, oracle_rate: 0.8781, spl: 0.7896, val_seen , nav_error: 4.0417, oracle_error: 2.6051, steps: 33.1077, lengths: 12.4813, success_rate: 0.6033, oracle_rate: 0.7013, spl: 0.5642, val_unseen , nav_error: 4.9761, oracle_error: 3.0876, steps: 40.7101, lengths: 14.6144, success_rate: 0.5317, oracle_rate: 0.6373, spl: 0.4835
iter 162802, train , nav_error: 1.7720, oracle_error: 1.2024, steps: 28.7227, lengths: 11.1175, success_rate: 0.8249, oracle_rate: 0.8720, spl: 0.7865, val_seen , nav_error: 4.0417, oracle_error: 2.5699, steps: 33.2615, lengths: 12.5399, success_rate: 0.6102, oracle_rate: 0.7071, spl: 0.5665, val_unseen , nav_error: 4.9214, oracle_error: 3.0715, steps: 39.9012, lengths: 14.4606, success_rate: 0.5360, oracle_rate: 0.6386, spl: 0.4858
BEST RESULT TILL NOW: val_seen | Iter 161042 iter 161042, train , nav_error: 1.4022, oracle_error: 0.9579, steps: 28.1600, lengths: 11.0083, success_rate: 0.8619, oracle_rate: 0.9016, spl: 0.8267, val_seen , nav_error: 4.1082, oracle_error: 2.5684, steps: 35.6964, lengths: 13.6468, success_rate: 0.6112, oracle_rate: 0.7042, spl: 0.5664, val_unseen , nav_error: 4.9603, oracle_error: 3.0329, steps: 43.1984, lengths: 15.5211, success_rate: 0.5377, oracle_rate: 0.6492, spl: 0.4883
BEST RESULT TILL NOW: val_unseen | Iter 162802 iter 162802, train , nav_error: 1.7720, oracle_error: 1.2024, steps: 28.7227, lengths: 11.1175, success_rate: 0.8249, oracle_rate: 0.8720, spl: 0.7865, val_seen , nav_error: 4.0417, oracle_error: 2.5699, steps: 33.2615, lengths: 12.5399, success_rate: 0.6102, oracle_rate: 0.7071, spl: 0.5665, val_unseen , nav_error: 4.9214, oracle_error: 3.0715, steps: 39.9012, lengths: 14.4606, success_rate: 0.5360, oracle_rate: 0.6386, spl: 0.4858
iter 163154, train , nav_error: 1.8584, oracle_error: 1.2628, steps: 28.7716, lengths: 11.1486, success_rate: 0.8160, oracle_rate: 0.8645, spl: 0.7781, val_seen , nav_error: 4.1834, oracle_error: 2.6940, steps: 34.9971, lengths: 12.9774, success_rate: 0.5896, oracle_rate: 0.6876, spl: 0.5498, val_unseen , nav_error: 4.9263, oracle_error: 3.0973, steps: 40.5155, lengths: 14.7367, success_rate: 0.5313, oracle_rate: 0.6364, spl: 0.4836
BEST RESULT TILL NOW: val_seen | Iter 161042 iter 161042, train , nav_error: 1.4022, oracle_error: 0.9579, steps: 28.1600, lengths: 11.0083, success_rate: 0.8619, oracle_rate: 0.9016, spl: 0.8267, val_seen , nav_error: 4.1082, oracle_error: 2.5684, steps: 35.6964, lengths: 13.6468, success_rate: 0.6112, oracle_rate: 0.7042, spl: 0.5664, val_unseen , nav_error: 4.9603, oracle_error: 3.0329, steps: 43.1984, lengths: 15.5211, success_rate: 0.5377, oracle_rate: 0.6492, spl: 0.4883
BEST RESULT TILL NOW: val_unseen | Iter 163154 iter 163154, train , nav_error: 1.8584, oracle_error: 1.2628, steps: 28.7716, lengths: 11.1486, success_rate: 0.8160, oracle_rate: 0.8645, spl: 0.7781, val_seen , nav_error: 4.1834, oracle_error: 2.6940, steps: 34.9971, lengths: 12.9774, success_rate: 0.5896, oracle_rate: 0.6876, spl: 0.5498, val_unseen , nav_error: 4.9263, oracle_error: 3.0973, steps: 40.5155, lengths: 14.7367, success_rate: 0.5313, oracle_rate: 0.6364, spl: 0.4836
iter 163506, train , nav_error: 1.9011, oracle_error: 1.3041, steps: 28.5710, lengths: 11.0576, success_rate: 0.8124, oracle_rate: 0.8607, spl: 0.7748, val_seen , nav_error: 4.1783, oracle_error: 2.7443, steps: 33.5142, lengths: 12.7726, success_rate: 0.5867, oracle_rate: 0.6817, spl: 0.5481, val_unseen , nav_error: 4.9620, oracle_error: 3.1411, steps: 39.6177, lengths: 14.3950, success_rate: 0.5326, oracle_rate: 0.6292, spl: 0.4861
