iter 1149, val_unseen , nav_error: 7.6304, oracle_error: 5.2285, steps: 19.7382, lengths: 8.2478, success_rate: 0.2771, oracle_rate: 0.3342, spl: 0.2631, val_seen , nav_error: 7.7533, oracle_error: 5.5518, steps: 20.9422, lengths: 8.3540, success_rate: 0.2870, oracle_rate: 0.3310, spl: 0.2773, train , nav_error: 7.4049, oracle_error: 5.2562, steps: 20.4957, lengths: 8.3915, success_rate: 0.3081, oracle_rate: 0.3648, spl: 0.2945
BEST RESULT TILL NOW: val_seen | Iter 922 iter 922, val_unseen , nav_error: 7.7256, oracle_error: 5.2601, steps: 20.2576, lengths: 8.3489, success_rate: 0.2793, oracle_rate: 0.3359, spl: 0.2643, val_seen , nav_error: 7.6923, oracle_error: 5.4522, steps: 21.9344, lengths: 8.5024, success_rate: 0.2977, oracle_rate: 0.3428, spl: 0.2883, train , nav_error: 7.5057, oracle_error: 5.2574, steps: 21.2298, lengths: 8.5141, success_rate: 0.3015, oracle_rate: 0.3647, spl: 0.2872
BEST RESULT TILL NOW: val_unseen | Iter 922 iter 922, val_unseen , nav_error: 7.7256, oracle_error: 5.2601, steps: 20.2576, lengths: 8.3489, success_rate: 0.2793, oracle_rate: 0.3359, spl: 0.2643, val_seen , nav_error: 7.6923, oracle_error: 5.4522, steps: 21.9344, lengths: 8.5024, success_rate: 0.2977, oracle_rate: 0.3428, spl: 0.2883, train , nav_error: 7.5057, oracle_error: 5.2574, steps: 21.2298, lengths: 8.5141, success_rate: 0.3015, oracle_rate: 0.3647, spl: 0.2872
iter 1393, val_unseen , nav_error: 7.6765, oracle_error: 5.0751, steps: 22.1409, lengths: 8.7251, success_rate: 0.3031, oracle_rate: 0.3708, spl: 0.2846, val_seen , nav_error: 7.2777, oracle_error: 5.1026, steps: 23.9354, lengths: 8.9727, success_rate: 0.3017, oracle_rate: 0.3683, spl: 0.2877, train , nav_error: 7.3206, oracle_error: 5.0298, steps: 22.9653, lengths: 8.8633, success_rate: 0.3191, oracle_rate: 0.3888, spl: 0.3020
BEST RESULT TILL NOW: val_seen | Iter 1393 iter 1393, val_unseen , nav_error: 7.6765, oracle_error: 5.0751, steps: 22.1409, lengths: 8.7251, success_rate: 0.3031, oracle_rate: 0.3708, spl: 0.2846, val_seen , nav_error: 7.2777, oracle_error: 5.1026, steps: 23.9354, lengths: 8.9727, success_rate: 0.3017, oracle_rate: 0.3683, spl: 0.2877, train , nav_error: 7.3206, oracle_error: 5.0298, steps: 22.9653, lengths: 8.8633, success_rate: 0.3191, oracle_rate: 0.3888, spl: 0.3020
BEST RESULT TILL NOW: val_unseen | Iter 1393 iter 1393, val_unseen , nav_error: 7.6765, oracle_error: 5.0751, steps: 22.1409, lengths: 8.7251, success_rate: 0.3031, oracle_rate: 0.3708, spl: 0.2846, val_seen , nav_error: 7.2777, oracle_error: 5.1026, steps: 23.9354, lengths: 8.9727, success_rate: 0.3017, oracle_rate: 0.3683, spl: 0.2877, train , nav_error: 7.3206, oracle_error: 5.0298, steps: 22.9653, lengths: 8.8633, success_rate: 0.3191, oracle_rate: 0.3888, spl: 0.3020
iter 1621, val_unseen , nav_error: 7.4585, oracle_error: 5.0002, steps: 21.0136, lengths: 8.6539, success_rate: 0.3061, oracle_rate: 0.3699, spl: 0.2883, val_seen , nav_error: 7.2752, oracle_error: 5.1469, steps: 22.4417, lengths: 8.8801, success_rate: 0.3310, oracle_rate: 0.3859, spl: 0.3170, train , nav_error: 7.2439, oracle_error: 5.0272, steps: 21.8727, lengths: 8.7748, success_rate: 0.3210, oracle_rate: 0.3868, spl: 0.3045
BEST RESULT TILL NOW: val_seen | Iter 1621 iter 1621, val_unseen , nav_error: 7.4585, oracle_error: 5.0002, steps: 21.0136, lengths: 8.6539, success_rate: 0.3061, oracle_rate: 0.3699, spl: 0.2883, val_seen , nav_error: 7.2752, oracle_error: 5.1469, steps: 22.4417, lengths: 8.8801, success_rate: 0.3310, oracle_rate: 0.3859, spl: 0.3170, train , nav_error: 7.2439, oracle_error: 5.0272, steps: 21.8727, lengths: 8.7748, success_rate: 0.3210, oracle_rate: 0.3868, spl: 0.3045
BEST RESULT TILL NOW: val_unseen | Iter 1621 iter 1621, val_unseen , nav_error: 7.4585, oracle_error: 5.0002, steps: 21.0136, lengths: 8.6539, success_rate: 0.3061, oracle_rate: 0.3699, spl: 0.2883, val_seen , nav_error: 7.2752, oracle_error: 5.1469, steps: 22.4417, lengths: 8.8801, success_rate: 0.3310, oracle_rate: 0.3859, spl: 0.3170, train , nav_error: 7.2439, oracle_error: 5.0272, steps: 21.8727, lengths: 8.7748, success_rate: 0.3210, oracle_rate: 0.3868, spl: 0.3045
iter 1844, val_unseen , nav_error: 7.4100, oracle_error: 4.8204, steps: 22.5032, lengths: 9.0627, success_rate: 0.3027, oracle_rate: 0.3908, spl: 0.2811, val_seen , nav_error: 7.0484, oracle_error: 4.7943, steps: 23.9618, lengths: 9.3676, success_rate: 0.3457, oracle_rate: 0.4212, spl: 0.3285, train , nav_error: 7.0312, oracle_error: 4.6956, steps: 23.3516, lengths: 9.2660, success_rate: 0.3410, oracle_rate: 0.4259, spl: 0.3203
BEST RESULT TILL NOW: val_seen | Iter 1844 iter 1844, val_unseen , nav_error: 7.4100, oracle_error: 4.8204, steps: 22.5032, lengths: 9.0627, success_rate: 0.3027, oracle_rate: 0.3908, spl: 0.2811, val_seen , nav_error: 7.0484, oracle_error: 4.7943, steps: 23.9618, lengths: 9.3676, success_rate: 0.3457, oracle_rate: 0.4212, spl: 0.3285, train , nav_error: 7.0312, oracle_error: 4.6956, steps: 23.3516, lengths: 9.2660, success_rate: 0.3410, oracle_rate: 0.4259, spl: 0.3203
BEST RESULT TILL NOW: val_unseen | Iter 1621 iter 1621, val_unseen , nav_error: 7.4585, oracle_error: 5.0002, steps: 21.0136, lengths: 8.6539, success_rate: 0.3061, oracle_rate: 0.3699, spl: 0.2883, val_seen , nav_error: 7.2752, oracle_error: 5.1469, steps: 22.4417, lengths: 8.8801, success_rate: 0.3310, oracle_rate: 0.3859, spl: 0.3170, train , nav_error: 7.2439, oracle_error: 5.0272, steps: 21.8727, lengths: 8.7748, success_rate: 0.3210, oracle_rate: 0.3868, spl: 0.3045
iter 2051, val_unseen , nav_error: 7.2197, oracle_error: 4.6736, steps: 22.9089, lengths: 9.1304, success_rate: 0.3359, oracle_rate: 0.4151, spl: 0.3121, val_seen , nav_error: 7.1014, oracle_error: 4.7861, steps: 24.0000, lengths: 9.3615, success_rate: 0.3428, oracle_rate: 0.4182, spl: 0.3262, train , nav_error: 6.9641, oracle_error: 4.6548, steps: 23.2903, lengths: 9.3284, success_rate: 0.3482, oracle_rate: 0.4327, spl: 0.3261
BEST RESULT TILL NOW: val_seen | Iter 1844 iter 1844, val_unseen , nav_error: 7.4100, oracle_error: 4.8204, steps: 22.5032, lengths: 9.0627, success_rate: 0.3027, oracle_rate: 0.3908, spl: 0.2811, val_seen , nav_error: 7.0484, oracle_error: 4.7943, steps: 23.9618, lengths: 9.3676, success_rate: 0.3457, oracle_rate: 0.4212, spl: 0.3285, train , nav_error: 7.0312, oracle_error: 4.6956, steps: 23.3516, lengths: 9.2660, success_rate: 0.3410, oracle_rate: 0.4259, spl: 0.3203
BEST RESULT TILL NOW: val_unseen | Iter 2051 iter 2051, val_unseen , nav_error: 7.2197, oracle_error: 4.6736, steps: 22.9089, lengths: 9.1304, success_rate: 0.3359, oracle_rate: 0.4151, spl: 0.3121, val_seen , nav_error: 7.1014, oracle_error: 4.7861, steps: 24.0000, lengths: 9.3615, success_rate: 0.3428, oracle_rate: 0.4182, spl: 0.3262, train , nav_error: 6.9641, oracle_error: 4.6548, steps: 23.2903, lengths: 9.3284, success_rate: 0.3482, oracle_rate: 0.4327, spl: 0.3261
