iter 914, val_unseen , nav_error: 7.1170, oracle_error: 4.9180, steps: 22.4321, lengths: 8.7259, cls: 0.5048, ndtw: 0.3791, sdtw: 0.2356, success_rate: 0.3150, oracle_rate: 0.3772, spl: 0.2967, val_seen , nav_error: 7.4970, oracle_error: 5.3649, steps: 23.1978, lengths: 8.7592, cls: 0.5148, ndtw: 0.3812, sdtw: 0.2105, success_rate: 0.2772, oracle_rate: 0.3330, spl: 0.2656, train , nav_error: 6.9716, oracle_error: 4.9609, steps: 23.2462, lengths: 8.7900, cls: 0.5282, ndtw: 0.3976, sdtw: 0.2452, success_rate: 0.3277, oracle_rate: 0.3921, spl: 0.3119
BEST RESULT TILL NOW: val_seen | Iter 914 iter 914, val_unseen , nav_error: 7.1170, oracle_error: 4.9180, steps: 22.4321, lengths: 8.7259, cls: 0.5048, ndtw: 0.3791, sdtw: 0.2356, success_rate: 0.3150, oracle_rate: 0.3772, spl: 0.2967, val_seen , nav_error: 7.4970, oracle_error: 5.3649, steps: 23.1978, lengths: 8.7592, cls: 0.5148, ndtw: 0.3812, sdtw: 0.2105, success_rate: 0.2772, oracle_rate: 0.3330, spl: 0.2656, train , nav_error: 6.9716, oracle_error: 4.9609, steps: 23.2462, lengths: 8.7900, cls: 0.5282, ndtw: 0.3976, sdtw: 0.2452, success_rate: 0.3277, oracle_rate: 0.3921, spl: 0.3119
BEST RESULT TILL NOW: val_unseen | Iter 914 iter 914, val_unseen , nav_error: 7.1170, oracle_error: 4.9180, steps: 22.4321, lengths: 8.7259, cls: 0.5048, ndtw: 0.3791, sdtw: 0.2356, success_rate: 0.3150, oracle_rate: 0.3772, spl: 0.2967, val_seen , nav_error: 7.4970, oracle_error: 5.3649, steps: 23.1978, lengths: 8.7592, cls: 0.5148, ndtw: 0.3812, sdtw: 0.2105, success_rate: 0.2772, oracle_rate: 0.3330, spl: 0.2656, train , nav_error: 6.9716, oracle_error: 4.9609, steps: 23.2462, lengths: 8.7900, cls: 0.5282, ndtw: 0.3976, sdtw: 0.2452, success_rate: 0.3277, oracle_rate: 0.3921, spl: 0.3119
iter 1810, val_unseen , nav_error: 7.3143, oracle_error: 4.8305, steps: 22.5287, lengths: 9.0811, cls: 0.5033, ndtw: 0.3702, sdtw: 0.2297, success_rate: 0.3129, oracle_rate: 0.3870, spl: 0.2937, val_seen , nav_error: 7.3058, oracle_error: 5.1487, steps: 23.5220, lengths: 9.0358, cls: 0.5253, ndtw: 0.3848, sdtw: 0.2374, success_rate: 0.3281, oracle_rate: 0.3830, spl: 0.3114, train , nav_error: 6.7888, oracle_error: 4.7187, steps: 23.0345, lengths: 9.0483, cls: 0.5435, ndtw: 0.4082, sdtw: 0.2673, success_rate: 0.3570, oracle_rate: 0.4322, spl: 0.3388
BEST RESULT TILL NOW: val_seen | Iter 1810 iter 1810, val_unseen , nav_error: 7.3143, oracle_error: 4.8305, steps: 22.5287, lengths: 9.0811, cls: 0.5033, ndtw: 0.3702, sdtw: 0.2297, success_rate: 0.3129, oracle_rate: 0.3870, spl: 0.2937, val_seen , nav_error: 7.3058, oracle_error: 5.1487, steps: 23.5220, lengths: 9.0358, cls: 0.5253, ndtw: 0.3848, sdtw: 0.2374, success_rate: 0.3281, oracle_rate: 0.3830, spl: 0.3114, train , nav_error: 6.7888, oracle_error: 4.7187, steps: 23.0345, lengths: 9.0483, cls: 0.5435, ndtw: 0.4082, sdtw: 0.2673, success_rate: 0.3570, oracle_rate: 0.4322, spl: 0.3388
BEST RESULT TILL NOW: val_unseen | Iter 914 iter 914, val_unseen , nav_error: 7.1170, oracle_error: 4.9180, steps: 22.4321, lengths: 8.7259, cls: 0.5048, ndtw: 0.3791, sdtw: 0.2356, success_rate: 0.3150, oracle_rate: 0.3772, spl: 0.2967, val_seen , nav_error: 7.4970, oracle_error: 5.3649, steps: 23.1978, lengths: 8.7592, cls: 0.5148, ndtw: 0.3812, sdtw: 0.2105, success_rate: 0.2772, oracle_rate: 0.3330, spl: 0.2656, train , nav_error: 6.9716, oracle_error: 4.9609, steps: 23.2462, lengths: 8.7900, cls: 0.5282, ndtw: 0.3976, sdtw: 0.2452, success_rate: 0.3277, oracle_rate: 0.3921, spl: 0.3119
iter 2630, val_unseen , nav_error: 7.4642, oracle_error: 4.4049, steps: 24.8161, lengths: 10.3136, cls: 0.5011, ndtw: 0.3488, sdtw: 0.2238, success_rate: 0.3227, oracle_rate: 0.4551, spl: 0.2853, val_seen , nav_error: 7.6716, oracle_error: 4.7343, steps: 26.4065, lengths: 10.5542, cls: 0.5094, ndtw: 0.3492, sdtw: 0.2153, success_rate: 0.3095, oracle_rate: 0.4407, spl: 0.2807, train , nav_error: 6.9225, oracle_error: 4.2816, steps: 26.3289, lengths: 10.4429, cls: 0.5314, ndtw: 0.3704, sdtw: 0.2522, success_rate: 0.3632, oracle_rate: 0.4917, spl: 0.3265
BEST RESULT TILL NOW: val_seen | Iter 1810 iter 1810, val_unseen , nav_error: 7.3143, oracle_error: 4.8305, steps: 22.5287, lengths: 9.0811, cls: 0.5033, ndtw: 0.3702, sdtw: 0.2297, success_rate: 0.3129, oracle_rate: 0.3870, spl: 0.2937, val_seen , nav_error: 7.3058, oracle_error: 5.1487, steps: 23.5220, lengths: 9.0358, cls: 0.5253, ndtw: 0.3848, sdtw: 0.2374, success_rate: 0.3281, oracle_rate: 0.3830, spl: 0.3114, train , nav_error: 6.7888, oracle_error: 4.7187, steps: 23.0345, lengths: 9.0483, cls: 0.5435, ndtw: 0.4082, sdtw: 0.2673, success_rate: 0.3570, oracle_rate: 0.4322, spl: 0.3388
BEST RESULT TILL NOW: val_unseen | Iter 2630 iter 2630, val_unseen , nav_error: 7.4642, oracle_error: 4.4049, steps: 24.8161, lengths: 10.3136, cls: 0.5011, ndtw: 0.3488, sdtw: 0.2238, success_rate: 0.3227, oracle_rate: 0.4551, spl: 0.2853, val_seen , nav_error: 7.6716, oracle_error: 4.7343, steps: 26.4065, lengths: 10.5542, cls: 0.5094, ndtw: 0.3492, sdtw: 0.2153, success_rate: 0.3095, oracle_rate: 0.4407, spl: 0.2807, train , nav_error: 6.9225, oracle_error: 4.2816, steps: 26.3289, lengths: 10.4429, cls: 0.5314, ndtw: 0.3704, sdtw: 0.2522, success_rate: 0.3632, oracle_rate: 0.4917, spl: 0.3265
iter 3631, val_unseen , nav_error: 6.7543, oracle_error: 4.6383, steps: 22.0711, lengths: 8.7623, cls: 0.5366, ndtw: 0.4087, sdtw: 0.2594, success_rate: 0.3521, oracle_rate: 0.4168, spl: 0.3339, val_seen , nav_error: 6.9001, oracle_error: 4.8187, steps: 23.1224, lengths: 9.2083, cls: 0.5518, ndtw: 0.4131, sdtw: 0.2598, success_rate: 0.3506, oracle_rate: 0.4114, spl: 0.3347, train , nav_error: 6.1667, oracle_error: 4.3369, steps: 23.1789, lengths: 9.1050, cls: 0.5777, ndtw: 0.4474, sdtw: 0.3104, success_rate: 0.4101, oracle_rate: 0.4819, spl: 0.3891
BEST RESULT TILL NOW: val_seen | Iter 3631 iter 3631, val_unseen , nav_error: 6.7543, oracle_error: 4.6383, steps: 22.0711, lengths: 8.7623, cls: 0.5366, ndtw: 0.4087, sdtw: 0.2594, success_rate: 0.3521, oracle_rate: 0.4168, spl: 0.3339, val_seen , nav_error: 6.9001, oracle_error: 4.8187, steps: 23.1224, lengths: 9.2083, cls: 0.5518, ndtw: 0.4131, sdtw: 0.2598, success_rate: 0.3506, oracle_rate: 0.4114, spl: 0.3347, train , nav_error: 6.1667, oracle_error: 4.3369, steps: 23.1789, lengths: 9.1050, cls: 0.5777, ndtw: 0.4474, sdtw: 0.3104, success_rate: 0.4101, oracle_rate: 0.4819, spl: 0.3891
BEST RESULT TILL NOW: val_unseen | Iter 3631 iter 3631, val_unseen , nav_error: 6.7543, oracle_error: 4.6383, steps: 22.0711, lengths: 8.7623, cls: 0.5366, ndtw: 0.4087, sdtw: 0.2594, success_rate: 0.3521, oracle_rate: 0.4168, spl: 0.3339, val_seen , nav_error: 6.9001, oracle_error: 4.8187, steps: 23.1224, lengths: 9.2083, cls: 0.5518, ndtw: 0.4131, sdtw: 0.2598, success_rate: 0.3506, oracle_rate: 0.4114, spl: 0.3347, train , nav_error: 6.1667, oracle_error: 4.3369, steps: 23.1789, lengths: 9.1050, cls: 0.5777, ndtw: 0.4474, sdtw: 0.3104, success_rate: 0.4101, oracle_rate: 0.4819, spl: 0.3891
iter 4527, val_unseen , nav_error: 6.2071, oracle_error: 4.3930, steps: 23.8054, lengths: 9.1430, cls: 0.5397, ndtw: 0.3990, sdtw: 0.2617, success_rate: 0.3623, oracle_rate: 0.4410, spl: 0.3368, val_seen , nav_error: 6.8532, oracle_error: 4.8352, steps: 24.6729, lengths: 9.5428, cls: 0.5374, ndtw: 0.3944, sdtw: 0.2483, success_rate: 0.3438, oracle_rate: 0.4172, spl: 0.3213, train , nav_error: 5.8734, oracle_error: 4.1700, steps: 24.0991, lengths: 9.4734, cls: 0.5779, ndtw: 0.4386, sdtw: 0.3066, success_rate: 0.4146, oracle_rate: 0.4929, spl: 0.3889
BEST RESULT TILL NOW: val_seen | Iter 3631 iter 3631, val_unseen , nav_error: 6.7543, oracle_error: 4.6383, steps: 22.0711, lengths: 8.7623, cls: 0.5366, ndtw: 0.4087, sdtw: 0.2594, success_rate: 0.3521, oracle_rate: 0.4168, spl: 0.3339, val_seen , nav_error: 6.9001, oracle_error: 4.8187, steps: 23.1224, lengths: 9.2083, cls: 0.5518, ndtw: 0.4131, sdtw: 0.2598, success_rate: 0.3506, oracle_rate: 0.4114, spl: 0.3347, train , nav_error: 6.1667, oracle_error: 4.3369, steps: 23.1789, lengths: 9.1050, cls: 0.5777, ndtw: 0.4474, sdtw: 0.3104, success_rate: 0.4101, oracle_rate: 0.4819, spl: 0.3891
