iter 160958, train , nav_error: 0.7258, oracle_error: 0.5569, steps: 26.6334, lengths: 10.3801, success_rate: 0.9383, oracle_rate: 0.9546, spl: 0.9158, val_seen , nav_error: 4.0115, oracle_error: 2.6019, steps: 35.5504, lengths: 13.5294, success_rate: 0.6288, oracle_rate: 0.7071, spl: 0.5867, val_unseen , nav_error: 4.9128, oracle_error: 3.0601, steps: 42.9017, lengths: 15.8375, success_rate: 0.5483, oracle_rate: 0.6433, spl: 0.4866
BEST RESULT TILL NOW: val_seen | Iter 160254 iter 160254, train , nav_error: 0.6749, oracle_error: 0.5153, steps: 26.5419, lengths: 10.3296, success_rate: 0.9436, oracle_rate: 0.9588, spl: 0.9216, val_seen , nav_error: 3.8676, oracle_error: 2.4893, steps: 36.6807, lengths: 14.0920, success_rate: 0.6386, oracle_rate: 0.7169, spl: 0.5931, val_unseen , nav_error: 4.8649, oracle_error: 3.0234, steps: 45.1362, lengths: 16.4283, success_rate: 0.5411, oracle_rate: 0.6450, spl: 0.4831
BEST RESULT TILL NOW: val_unseen | Iter 160958 iter 160958, train , nav_error: 0.7258, oracle_error: 0.5569, steps: 26.6334, lengths: 10.3801, success_rate: 0.9383, oracle_rate: 0.9546, spl: 0.9158, val_seen , nav_error: 4.0115, oracle_error: 2.6019, steps: 35.5504, lengths: 13.5294, success_rate: 0.6288, oracle_rate: 0.7071, spl: 0.5867, val_unseen , nav_error: 4.9128, oracle_error: 3.0601, steps: 42.9017, lengths: 15.8375, success_rate: 0.5483, oracle_rate: 0.6433, spl: 0.4866
iter 161310, train , nav_error: 0.7359, oracle_error: 0.5705, steps: 26.8012, lengths: 10.4333, success_rate: 0.9362, oracle_rate: 0.9523, spl: 0.9131, val_seen , nav_error: 4.0237, oracle_error: 2.6582, steps: 35.6650, lengths: 13.4061, success_rate: 0.6239, oracle_rate: 0.6974, spl: 0.5849, val_unseen , nav_error: 4.8973, oracle_error: 3.0781, steps: 43.9370, lengths: 16.1398, success_rate: 0.5445, oracle_rate: 0.6403, spl: 0.4846
BEST RESULT TILL NOW: val_seen | Iter 160254 iter 160254, train , nav_error: 0.6749, oracle_error: 0.5153, steps: 26.5419, lengths: 10.3296, success_rate: 0.9436, oracle_rate: 0.9588, spl: 0.9216, val_seen , nav_error: 3.8676, oracle_error: 2.4893, steps: 36.6807, lengths: 14.0920, success_rate: 0.6386, oracle_rate: 0.7169, spl: 0.5931, val_unseen , nav_error: 4.8649, oracle_error: 3.0234, steps: 45.1362, lengths: 16.4283, success_rate: 0.5411, oracle_rate: 0.6450, spl: 0.4831
BEST RESULT TILL NOW: val_unseen | Iter 161310 iter 161310, train , nav_error: 0.7359, oracle_error: 0.5705, steps: 26.8012, lengths: 10.4333, success_rate: 0.9362, oracle_rate: 0.9523, spl: 0.9131, val_seen , nav_error: 4.0237, oracle_error: 2.6582, steps: 35.6650, lengths: 13.4061, success_rate: 0.6239, oracle_rate: 0.6974, spl: 0.5849, val_unseen , nav_error: 4.8973, oracle_error: 3.0781, steps: 43.9370, lengths: 16.1398, success_rate: 0.5445, oracle_rate: 0.6403, spl: 0.4846
iter 161662, train , nav_error: 0.7659, oracle_error: 0.5998, steps: 26.6251, lengths: 10.3513, success_rate: 0.9334, oracle_rate: 0.9496, spl: 0.9109, val_seen , nav_error: 4.0377, oracle_error: 2.6843, steps: 35.2752, lengths: 13.3320, success_rate: 0.6229, oracle_rate: 0.6925, spl: 0.5852, val_unseen , nav_error: 4.8800, oracle_error: 3.1193, steps: 44.4832, lengths: 16.0447, success_rate: 0.5449, oracle_rate: 0.6335, spl: 0.4855
BEST RESULT TILL NOW: val_seen | Iter 160254 iter 160254, train , nav_error: 0.6749, oracle_error: 0.5153, steps: 26.5419, lengths: 10.3296, success_rate: 0.9436, oracle_rate: 0.9588, spl: 0.9216, val_seen , nav_error: 3.8676, oracle_error: 2.4893, steps: 36.6807, lengths: 14.0920, success_rate: 0.6386, oracle_rate: 0.7169, spl: 0.5931, val_unseen , nav_error: 4.8649, oracle_error: 3.0234, steps: 45.1362, lengths: 16.4283, success_rate: 0.5411, oracle_rate: 0.6450, spl: 0.4831
BEST RESULT TILL NOW: val_unseen | Iter 161310 iter 161310, train , nav_error: 0.7359, oracle_error: 0.5705, steps: 26.8012, lengths: 10.4333, success_rate: 0.9362, oracle_rate: 0.9523, spl: 0.9131, val_seen , nav_error: 4.0237, oracle_error: 2.6582, steps: 35.6650, lengths: 13.4061, success_rate: 0.6239, oracle_rate: 0.6974, spl: 0.5849, val_unseen , nav_error: 4.8973, oracle_error: 3.0781, steps: 43.9370, lengths: 16.1398, success_rate: 0.5445, oracle_rate: 0.6403, spl: 0.4846
iter 162014, train , nav_error: 0.7639, oracle_error: 0.5908, steps: 26.7301, lengths: 10.3948, success_rate: 0.9335, oracle_rate: 0.9501, spl: 0.9100, val_seen , nav_error: 4.0538, oracle_error: 2.6767, steps: 35.3702, lengths: 13.6882, success_rate: 0.6239, oracle_rate: 0.6934, spl: 0.5854, val_unseen , nav_error: 4.8095, oracle_error: 3.0594, steps: 45.2380, lengths: 16.3412, success_rate: 0.5462, oracle_rate: 0.6415, spl: 0.4849
