iter 72914, train , nav_error: 0.9128, oracle_error: 0.5254, steps: 27.8434, lengths: 10.8423, success_rate: 0.9154, oracle_rate: 0.9528, spl: 0.8818, val_seen , nav_error: 4.7830, oracle_error: 2.8526, steps: 35.6974, lengths: 13.4599, success_rate: 0.5700, oracle_rate: 0.6758, spl: 0.5260, val_unseen , nav_error: 5.5130, oracle_error: 3.2257, steps: 43.9634, lengths: 15.6558, success_rate: 0.4751, oracle_rate: 0.6083, spl: 0.4257
BEST RESULT TILL NOW: val_seen | Iter 72914 iter 72914, train , nav_error: 0.9128, oracle_error: 0.5254, steps: 27.8434, lengths: 10.8423, success_rate: 0.9154, oracle_rate: 0.9528, spl: 0.8818, val_seen , nav_error: 4.7830, oracle_error: 2.8526, steps: 35.6974, lengths: 13.4599, success_rate: 0.5700, oracle_rate: 0.6758, spl: 0.5260, val_unseen , nav_error: 5.5130, oracle_error: 3.2257, steps: 43.9634, lengths: 15.6558, success_rate: 0.4751, oracle_rate: 0.6083, spl: 0.4257
BEST RESULT TILL NOW: val_unseen | Iter 72914 iter 72914, train , nav_error: 0.9128, oracle_error: 0.5254, steps: 27.8434, lengths: 10.8423, success_rate: 0.9154, oracle_rate: 0.9528, spl: 0.8818, val_seen , nav_error: 4.7830, oracle_error: 2.8526, steps: 35.6974, lengths: 13.4599, success_rate: 0.5700, oracle_rate: 0.6758, spl: 0.5260, val_unseen , nav_error: 5.5130, oracle_error: 3.2257, steps: 43.9634, lengths: 15.6558, success_rate: 0.4751, oracle_rate: 0.6083, spl: 0.4257
iter 73140, train , nav_error: 0.8526, oracle_error: 0.5298, steps: 26.7101, lengths: 10.4450, success_rate: 0.9204, oracle_rate: 0.9524, spl: 0.8907, val_seen , nav_error: 4.5782, oracle_error: 2.8538, steps: 31.6915, lengths: 12.2055, success_rate: 0.5739, oracle_rate: 0.6670, spl: 0.5353, val_unseen , nav_error: 5.4138, oracle_error: 3.2761, steps: 36.9319, lengths: 13.6126, success_rate: 0.4862, oracle_rate: 0.5998, spl: 0.4399
BEST RESULT TILL NOW: val_seen | Iter 73140 iter 73140, train , nav_error: 0.8526, oracle_error: 0.5298, steps: 26.7101, lengths: 10.4450, success_rate: 0.9204, oracle_rate: 0.9524, spl: 0.8907, val_seen , nav_error: 4.5782, oracle_error: 2.8538, steps: 31.6915, lengths: 12.2055, success_rate: 0.5739, oracle_rate: 0.6670, spl: 0.5353, val_unseen , nav_error: 5.4138, oracle_error: 3.2761, steps: 36.9319, lengths: 13.6126, success_rate: 0.4862, oracle_rate: 0.5998, spl: 0.4399
BEST RESULT TILL NOW: val_unseen | Iter 73140 iter 73140, train , nav_error: 0.8526, oracle_error: 0.5298, steps: 26.7101, lengths: 10.4450, success_rate: 0.9204, oracle_rate: 0.9524, spl: 0.8907, val_seen , nav_error: 4.5782, oracle_error: 2.8538, steps: 31.6915, lengths: 12.2055, success_rate: 0.5739, oracle_rate: 0.6670, spl: 0.5353, val_unseen , nav_error: 5.4138, oracle_error: 3.2761, steps: 36.9319, lengths: 13.6126, success_rate: 0.4862, oracle_rate: 0.5998, spl: 0.4399
iter 73344, train , nav_error: 0.9385, oracle_error: 0.5658, steps: 27.5979, lengths: 10.7792, success_rate: 0.9105, oracle_rate: 0.9492, spl: 0.8793, val_seen , nav_error: 4.5500, oracle_error: 2.7267, steps: 35.4261, lengths: 13.6578, success_rate: 0.5671, oracle_rate: 0.6778, spl: 0.5195, val_unseen , nav_error: 5.3854, oracle_error: 3.1824, steps: 43.4232, lengths: 15.6934, success_rate: 0.4862, oracle_rate: 0.6135, spl: 0.4371
BEST RESULT TILL NOW: val_seen | Iter 73140 iter 73140, train , nav_error: 0.8526, oracle_error: 0.5298, steps: 26.7101, lengths: 10.4450, success_rate: 0.9204, oracle_rate: 0.9524, spl: 0.8907, val_seen , nav_error: 4.5782, oracle_error: 2.8538, steps: 31.6915, lengths: 12.2055, success_rate: 0.5739, oracle_rate: 0.6670, spl: 0.5353, val_unseen , nav_error: 5.4138, oracle_error: 3.2761, steps: 36.9319, lengths: 13.6126, success_rate: 0.4862, oracle_rate: 0.5998, spl: 0.4399
BEST RESULT TILL NOW: val_unseen | Iter 73344 iter 73344, train , nav_error: 0.9385, oracle_error: 0.5658, steps: 27.5979, lengths: 10.7792, success_rate: 0.9105, oracle_rate: 0.9492, spl: 0.8793, val_seen , nav_error: 4.5500, oracle_error: 2.7267, steps: 35.4261, lengths: 13.6578, success_rate: 0.5671, oracle_rate: 0.6778, spl: 0.5195, val_unseen , nav_error: 5.3854, oracle_error: 3.1824, steps: 43.4232, lengths: 15.6934, success_rate: 0.4862, oracle_rate: 0.6135, spl: 0.4371
iter 73601, train , nav_error: 0.8383, oracle_error: 0.6032, steps: 26.4578, lengths: 10.3675, success_rate: 0.9234, oracle_rate: 0.9469, spl: 0.9003, val_seen , nav_error: 4.4152, oracle_error: 2.8423, steps: 31.9794, lengths: 12.5274, success_rate: 0.5916, oracle_rate: 0.6748, spl: 0.5550, val_unseen , nav_error: 5.3162, oracle_error: 3.3218, steps: 40.6522, lengths: 14.7113, success_rate: 0.4938, oracle_rate: 0.5977, spl: 0.4489
BEST RESULT TILL NOW: val_seen | Iter 73601 iter 73601, train , nav_error: 0.8383, oracle_error: 0.6032, steps: 26.4578, lengths: 10.3675, success_rate: 0.9234, oracle_rate: 0.9469, spl: 0.9003, val_seen , nav_error: 4.4152, oracle_error: 2.8423, steps: 31.9794, lengths: 12.5274, success_rate: 0.5916, oracle_rate: 0.6748, spl: 0.5550, val_unseen , nav_error: 5.3162, oracle_error: 3.3218, steps: 40.6522, lengths: 14.7113, success_rate: 0.4938, oracle_rate: 0.5977, spl: 0.4489
