iter 161042, train , nav_error: 1.3352, oracle_error: 0.9394, steps: 28.4312, lengths: 11.0496, success_rate: 0.8716, oracle_rate: 0.9068, spl: 0.8379, val_seen , nav_error: 3.9912, oracle_error: 2.4781, steps: 38.2184, lengths: 14.6514, success_rate: 0.6229, oracle_rate: 0.7189, spl: 0.5745, val_unseen , nav_error: 4.9303, oracle_error: 3.0311, steps: 46.5751, lengths: 16.8608, success_rate: 0.5432, oracle_rate: 0.6467, spl: 0.4893
BEST RESULT TILL NOW: val_seen | Iter 161042 iter 161042, train , nav_error: 1.3352, oracle_error: 0.9394, steps: 28.4312, lengths: 11.0496, success_rate: 0.8716, oracle_rate: 0.9068, spl: 0.8379, val_seen , nav_error: 3.9912, oracle_error: 2.4781, steps: 38.2184, lengths: 14.6514, success_rate: 0.6229, oracle_rate: 0.7189, spl: 0.5745, val_unseen , nav_error: 4.9303, oracle_error: 3.0311, steps: 46.5751, lengths: 16.8608, success_rate: 0.5432, oracle_rate: 0.6467, spl: 0.4893
BEST RESULT TILL NOW: val_unseen | Iter 161042 iter 161042, train , nav_error: 1.3352, oracle_error: 0.9394, steps: 28.4312, lengths: 11.0496, success_rate: 0.8716, oracle_rate: 0.9068, spl: 0.8379, val_seen , nav_error: 3.9912, oracle_error: 2.4781, steps: 38.2184, lengths: 14.6514, success_rate: 0.6229, oracle_rate: 0.7189, spl: 0.5745, val_unseen , nav_error: 4.9303, oracle_error: 3.0311, steps: 46.5751, lengths: 16.8608, success_rate: 0.5432, oracle_rate: 0.6467, spl: 0.4893
iter 161394, train , nav_error: 1.4408, oracle_error: 1.0110, steps: 27.9507, lengths: 10.9104, success_rate: 0.8612, oracle_rate: 0.8980, spl: 0.8275, val_seen , nav_error: 3.9563, oracle_error: 2.5248, steps: 33.8678, lengths: 12.9283, success_rate: 0.6278, oracle_rate: 0.7071, spl: 0.5821, val_unseen , nav_error: 4.9340, oracle_error: 2.9953, steps: 42.6164, lengths: 15.6625, success_rate: 0.5436, oracle_rate: 0.6505, spl: 0.4908
BEST RESULT TILL NOW: val_seen | Iter 161042 iter 161042, train , nav_error: 1.3352, oracle_error: 0.9394, steps: 28.4312, lengths: 11.0496, success_rate: 0.8716, oracle_rate: 0.9068, spl: 0.8379, val_seen , nav_error: 3.9912, oracle_error: 2.4781, steps: 38.2184, lengths: 14.6514, success_rate: 0.6229, oracle_rate: 0.7189, spl: 0.5745, val_unseen , nav_error: 4.9303, oracle_error: 3.0311, steps: 46.5751, lengths: 16.8608, success_rate: 0.5432, oracle_rate: 0.6467, spl: 0.4893
BEST RESULT TILL NOW: val_unseen | Iter 161394 iter 161394, train , nav_error: 1.4408, oracle_error: 1.0110, steps: 27.9507, lengths: 10.9104, success_rate: 0.8612, oracle_rate: 0.8980, spl: 0.8275, val_seen , nav_error: 3.9563, oracle_error: 2.5248, steps: 33.8678, lengths: 12.9283, success_rate: 0.6278, oracle_rate: 0.7071, spl: 0.5821, val_unseen , nav_error: 4.9340, oracle_error: 2.9953, steps: 42.6164, lengths: 15.6625, success_rate: 0.5436, oracle_rate: 0.6505, spl: 0.4908
iter 161746, train , nav_error: 1.4866, oracle_error: 1.0349, steps: 28.7835, lengths: 11.1752, success_rate: 0.8566, oracle_rate: 0.8961, spl: 0.8203, val_seen , nav_error: 4.0409, oracle_error: 2.5467, steps: 36.6288, lengths: 13.8331, success_rate: 0.6161, oracle_rate: 0.7130, spl: 0.5699, val_unseen , nav_error: 4.9755, oracle_error: 3.0546, steps: 44.1839, lengths: 16.0666, success_rate: 0.5407, oracle_rate: 0.6458, spl: 0.4892
BEST RESULT TILL NOW: val_seen | Iter 161042 iter 161042, train , nav_error: 1.3352, oracle_error: 0.9394, steps: 28.4312, lengths: 11.0496, success_rate: 0.8716, oracle_rate: 0.9068, spl: 0.8379, val_seen , nav_error: 3.9912, oracle_error: 2.4781, steps: 38.2184, lengths: 14.6514, success_rate: 0.6229, oracle_rate: 0.7189, spl: 0.5745, val_unseen , nav_error: 4.9303, oracle_error: 3.0311, steps: 46.5751, lengths: 16.8608, success_rate: 0.5432, oracle_rate: 0.6467, spl: 0.4893
BEST RESULT TILL NOW: val_unseen | Iter 161394 iter 161394, train , nav_error: 1.4408, oracle_error: 1.0110, steps: 27.9507, lengths: 10.9104, success_rate: 0.8612, oracle_rate: 0.8980, spl: 0.8275, val_seen , nav_error: 3.9563, oracle_error: 2.5248, steps: 33.8678, lengths: 12.9283, success_rate: 0.6278, oracle_rate: 0.7071, spl: 0.5821, val_unseen , nav_error: 4.9340, oracle_error: 2.9953, steps: 42.6164, lengths: 15.6625, success_rate: 0.5436, oracle_rate: 0.6505, spl: 0.4908
iter 162098, train , nav_error: 1.5534, oracle_error: 1.1150, steps: 28.6203, lengths: 11.0280, success_rate: 0.8491, oracle_rate: 0.8862, spl: 0.8155, val_seen , nav_error: 4.1447, oracle_error: 2.6979, steps: 34.7708, lengths: 13.1989, success_rate: 0.6033, oracle_rate: 0.6905, spl: 0.5603, val_unseen , nav_error: 4.9824, oracle_error: 3.1323, steps: 42.3504, lengths: 15.4062, success_rate: 0.5351, oracle_rate: 0.6360, spl: 0.4897
BEST RESULT TILL NOW: val_seen | Iter 161042 iter 161042, train , nav_error: 1.3352, oracle_error: 0.9394, steps: 28.4312, lengths: 11.0496, success_rate: 0.8716, oracle_rate: 0.9068, spl: 0.8379, val_seen , nav_error: 3.9912, oracle_error: 2.4781, steps: 38.2184, lengths: 14.6514, success_rate: 0.6229, oracle_rate: 0.7189, spl: 0.5745, val_unseen , nav_error: 4.9303, oracle_error: 3.0311, steps: 46.5751, lengths: 16.8608, success_rate: 0.5432, oracle_rate: 0.6467, spl: 0.4893
