iter 160989, train , nav_error: 1.5018, oracle_error: 1.0943, steps: 27.9822, lengths: 10.8842, success_rate: 0.8532, oracle_rate: 0.8870, spl: 0.8203, val_seen , nav_error: 4.0664, oracle_error: 2.7043, steps: 35.1753, lengths: 13.0283, success_rate: 0.6092, oracle_rate: 0.6895, spl: 0.5659, val_unseen , nav_error: 4.9010, oracle_error: 3.1284, steps: 41.7476, lengths: 14.9663, success_rate: 0.5424, oracle_rate: 0.6339, spl: 0.4931
BEST RESULT TILL NOW: val_seen | Iter 160989 iter 160989, train , nav_error: 1.5018, oracle_error: 1.0943, steps: 27.9822, lengths: 10.8842, success_rate: 0.8532, oracle_rate: 0.8870, spl: 0.8203, val_seen , nav_error: 4.0664, oracle_error: 2.7043, steps: 35.1753, lengths: 13.0283, success_rate: 0.6092, oracle_rate: 0.6895, spl: 0.5659, val_unseen , nav_error: 4.9010, oracle_error: 3.1284, steps: 41.7476, lengths: 14.9663, success_rate: 0.5424, oracle_rate: 0.6339, spl: 0.4931
BEST RESULT TILL NOW: val_unseen | Iter 160989 iter 160989, train , nav_error: 1.5018, oracle_error: 1.0943, steps: 27.9822, lengths: 10.8842, success_rate: 0.8532, oracle_rate: 0.8870, spl: 0.8203, val_seen , nav_error: 4.0664, oracle_error: 2.7043, steps: 35.1753, lengths: 13.0283, success_rate: 0.6092, oracle_rate: 0.6895, spl: 0.5659, val_unseen , nav_error: 4.9010, oracle_error: 3.1284, steps: 41.7476, lengths: 14.9663, success_rate: 0.5424, oracle_rate: 0.6339, spl: 0.4931
iter 161288, train , nav_error: 1.5950, oracle_error: 1.1372, steps: 27.8199, lengths: 10.8464, success_rate: 0.8449, oracle_rate: 0.8822, spl: 0.8114, val_seen , nav_error: 4.0946, oracle_error: 2.7101, steps: 34.8590, lengths: 13.1302, success_rate: 0.6102, oracle_rate: 0.6934, spl: 0.5661, val_unseen , nav_error: 4.9062, oracle_error: 3.0907, steps: 41.0358, lengths: 14.7604, success_rate: 0.5492, oracle_rate: 0.6437, spl: 0.5020
BEST RESULT TILL NOW: val_seen | Iter 160989 iter 160989, train , nav_error: 1.5018, oracle_error: 1.0943, steps: 27.9822, lengths: 10.8842, success_rate: 0.8532, oracle_rate: 0.8870, spl: 0.8203, val_seen , nav_error: 4.0664, oracle_error: 2.7043, steps: 35.1753, lengths: 13.0283, success_rate: 0.6092, oracle_rate: 0.6895, spl: 0.5659, val_unseen , nav_error: 4.9010, oracle_error: 3.1284, steps: 41.7476, lengths: 14.9663, success_rate: 0.5424, oracle_rate: 0.6339, spl: 0.4931
BEST RESULT TILL NOW: val_unseen | Iter 161288 iter 161288, train , nav_error: 1.5950, oracle_error: 1.1372, steps: 27.8199, lengths: 10.8464, success_rate: 0.8449, oracle_rate: 0.8822, spl: 0.8114, val_seen , nav_error: 4.0946, oracle_error: 2.7101, steps: 34.8590, lengths: 13.1302, success_rate: 0.6102, oracle_rate: 0.6934, spl: 0.5661, val_unseen , nav_error: 4.9062, oracle_error: 3.0907, steps: 41.0358, lengths: 14.7604, success_rate: 0.5492, oracle_rate: 0.6437, spl: 0.5020
iter 161587, train , nav_error: 1.7627, oracle_error: 1.1969, steps: 29.1209, lengths: 11.2833, success_rate: 0.8289, oracle_rate: 0.8754, spl: 0.7906, val_seen , nav_error: 4.2207, oracle_error: 2.7365, steps: 35.9931, lengths: 13.3553, success_rate: 0.5896, oracle_rate: 0.6856, spl: 0.5473, val_unseen , nav_error: 5.0532, oracle_error: 3.1406, steps: 43.5871, lengths: 15.5046, success_rate: 0.5377, oracle_rate: 0.6386, spl: 0.4896
BEST RESULT TILL NOW: val_seen | Iter 160989 iter 160989, train , nav_error: 1.5018, oracle_error: 1.0943, steps: 27.9822, lengths: 10.8842, success_rate: 0.8532, oracle_rate: 0.8870, spl: 0.8203, val_seen , nav_error: 4.0664, oracle_error: 2.7043, steps: 35.1753, lengths: 13.0283, success_rate: 0.6092, oracle_rate: 0.6895, spl: 0.5659, val_unseen , nav_error: 4.9010, oracle_error: 3.1284, steps: 41.7476, lengths: 14.9663, success_rate: 0.5424, oracle_rate: 0.6339, spl: 0.4931
BEST RESULT TILL NOW: val_unseen | Iter 161587 iter 161587, train , nav_error: 1.7627, oracle_error: 1.1969, steps: 29.1209, lengths: 11.2833, success_rate: 0.8289, oracle_rate: 0.8754, spl: 0.7906, val_seen , nav_error: 4.2207, oracle_error: 2.7365, steps: 35.9931, lengths: 13.3553, success_rate: 0.5896, oracle_rate: 0.6856, spl: 0.5473, val_unseen , nav_error: 5.0532, oracle_error: 3.1406, steps: 43.5871, lengths: 15.5046, success_rate: 0.5377, oracle_rate: 0.6386, spl: 0.4896
iter 161886, train , nav_error: 1.8321, oracle_error: 1.2531, steps: 29.4881, lengths: 11.2813, success_rate: 0.8215, oracle_rate: 0.8674, spl: 0.7831, val_seen , nav_error: 4.1605, oracle_error: 2.6912, steps: 37.2752, lengths: 13.7244, success_rate: 0.5886, oracle_rate: 0.6885, spl: 0.5496, val_unseen , nav_error: 4.9206, oracle_error: 3.0839, steps: 41.7199, lengths: 14.7194, success_rate: 0.5351, oracle_rate: 0.6373, spl: 0.4893
BEST RESULT TILL NOW: val_seen | Iter 160989 iter 160989, train , nav_error: 1.5018, oracle_error: 1.0943, steps: 27.9822, lengths: 10.8842, success_rate: 0.8532, oracle_rate: 0.8870, spl: 0.8203, val_seen , nav_error: 4.0664, oracle_error: 2.7043, steps: 35.1753, lengths: 13.0283, success_rate: 0.6092, oracle_rate: 0.6895, spl: 0.5659, val_unseen , nav_error: 4.9010, oracle_error: 3.1284, steps: 41.7476, lengths: 14.9663, success_rate: 0.5424, oracle_rate: 0.6339, spl: 0.4931
