iter 80829, val_unseen , nav_error: 5.2776, oracle_error: 3.4166, steps: 32.6100, lengths: 11.8892, success_rate: 0.5002, oracle_rate: 0.5879, spl: 0.4572, val_seen , nav_error: 4.6258, oracle_error: 3.0628, steps: 29.4662, lengths: 11.3963, success_rate: 0.5710, oracle_rate: 0.6494, spl: 0.5346, train , nav_error: 2.0209, oracle_error: 1.3892, steps: 26.9779, lengths: 10.4333, success_rate: 0.7979, oracle_rate: 0.8471, spl: 0.7642
BEST RESULT TILL NOW: val_seen | Iter 80829 iter 80829, val_unseen , nav_error: 5.2776, oracle_error: 3.4166, steps: 32.6100, lengths: 11.8892, success_rate: 0.5002, oracle_rate: 0.5879, spl: 0.4572, val_seen , nav_error: 4.6258, oracle_error: 3.0628, steps: 29.4662, lengths: 11.3963, success_rate: 0.5710, oracle_rate: 0.6494, spl: 0.5346, train , nav_error: 2.0209, oracle_error: 1.3892, steps: 26.9779, lengths: 10.4333, success_rate: 0.7979, oracle_rate: 0.8471, spl: 0.7642
BEST RESULT TILL NOW: val_unseen | Iter 80829 iter 80829, val_unseen , nav_error: 5.2776, oracle_error: 3.4166, steps: 32.6100, lengths: 11.8892, success_rate: 0.5002, oracle_rate: 0.5879, spl: 0.4572, val_seen , nav_error: 4.6258, oracle_error: 3.0628, steps: 29.4662, lengths: 11.3963, success_rate: 0.5710, oracle_rate: 0.6494, spl: 0.5346, train , nav_error: 2.0209, oracle_error: 1.3892, steps: 26.9779, lengths: 10.4333, success_rate: 0.7979, oracle_rate: 0.8471, spl: 0.7642
iter 81056, val_unseen , nav_error: 5.2996, oracle_error: 3.4960, steps: 30.7331, lengths: 11.3742, success_rate: 0.4947, oracle_rate: 0.5747, spl: 0.4553, val_seen , nav_error: 4.5666, oracle_error: 3.1191, steps: 28.1440, lengths: 10.8963, success_rate: 0.5661, oracle_rate: 0.6347, spl: 0.5326, train , nav_error: 2.0098, oracle_error: 1.4292, steps: 26.4578, lengths: 10.3043, success_rate: 0.8012, oracle_rate: 0.8432, spl: 0.7698
BEST RESULT TILL NOW: val_seen | Iter 80829 iter 80829, val_unseen , nav_error: 5.2776, oracle_error: 3.4166, steps: 32.6100, lengths: 11.8892, success_rate: 0.5002, oracle_rate: 0.5879, spl: 0.4572, val_seen , nav_error: 4.6258, oracle_error: 3.0628, steps: 29.4662, lengths: 11.3963, success_rate: 0.5710, oracle_rate: 0.6494, spl: 0.5346, train , nav_error: 2.0209, oracle_error: 1.3892, steps: 26.9779, lengths: 10.4333, success_rate: 0.7979, oracle_rate: 0.8471, spl: 0.7642
BEST RESULT TILL NOW: val_unseen | Iter 80829 iter 80829, val_unseen , nav_error: 5.2776, oracle_error: 3.4166, steps: 32.6100, lengths: 11.8892, success_rate: 0.5002, oracle_rate: 0.5879, spl: 0.4572, val_seen , nav_error: 4.6258, oracle_error: 3.0628, steps: 29.4662, lengths: 11.3963, success_rate: 0.5710, oracle_rate: 0.6494, spl: 0.5346, train , nav_error: 2.0209, oracle_error: 1.3892, steps: 26.9779, lengths: 10.4333, success_rate: 0.7979, oracle_rate: 0.8471, spl: 0.7642
iter 81265, val_unseen , nav_error: 5.3919, oracle_error: 3.3630, steps: 32.8553, lengths: 12.0874, success_rate: 0.4845, oracle_rate: 0.5909, spl: 0.4399, val_seen , nav_error: 4.7940, oracle_error: 3.1649, steps: 29.9050, lengths: 11.4600, success_rate: 0.5475, oracle_rate: 0.6337, spl: 0.5127, train , nav_error: 1.9962, oracle_error: 1.3592, steps: 27.2118, lengths: 10.5155, success_rate: 0.8018, oracle_rate: 0.8508, spl: 0.7667
BEST RESULT TILL NOW: val_seen | Iter 80829 iter 80829, val_unseen , nav_error: 5.2776, oracle_error: 3.4166, steps: 32.6100, lengths: 11.8892, success_rate: 0.5002, oracle_rate: 0.5879, spl: 0.4572, val_seen , nav_error: 4.6258, oracle_error: 3.0628, steps: 29.4662, lengths: 11.3963, success_rate: 0.5710, oracle_rate: 0.6494, spl: 0.5346, train , nav_error: 2.0209, oracle_error: 1.3892, steps: 26.9779, lengths: 10.4333, success_rate: 0.7979, oracle_rate: 0.8471, spl: 0.7642
BEST RESULT TILL NOW: val_unseen | Iter 80829 iter 80829, val_unseen , nav_error: 5.2776, oracle_error: 3.4166, steps: 32.6100, lengths: 11.8892, success_rate: 0.5002, oracle_rate: 0.5879, spl: 0.4572, val_seen , nav_error: 4.6258, oracle_error: 3.0628, steps: 29.4662, lengths: 11.3963, success_rate: 0.5710, oracle_rate: 0.6494, spl: 0.5346, train , nav_error: 2.0209, oracle_error: 1.3892, steps: 26.9779, lengths: 10.4333, success_rate: 0.7979, oracle_rate: 0.8471, spl: 0.7642
iter 81518, val_unseen , nav_error: 5.2024, oracle_error: 3.3612, steps: 31.7625, lengths: 11.7903, success_rate: 0.4989, oracle_rate: 0.5888, spl: 0.4571, val_seen , nav_error: 4.6291, oracle_error: 3.1127, steps: 28.0872, lengths: 10.7834, success_rate: 0.5681, oracle_rate: 0.6386, spl: 0.5327, train , nav_error: 1.9569, oracle_error: 1.4019, steps: 26.7687, lengths: 10.3684, success_rate: 0.8057, oracle_rate: 0.8464, spl: 0.7735
