iter 72914, train , nav_error: 0.9134, oracle_error: 0.6144, steps: 26.7421, lengths: 10.4994, success_rate: 0.9144, oracle_rate: 0.9436, spl: 0.8887, val_seen , nav_error: 4.6580, oracle_error: 2.9415, steps: 32.3262, lengths: 12.4686, success_rate: 0.5690, oracle_rate: 0.6631, spl: 0.5303, val_unseen , nav_error: 5.4858, oracle_error: 3.3957, steps: 40.9966, lengths: 14.6623, success_rate: 0.4777, oracle_rate: 0.5854, spl: 0.4369
BEST RESULT TILL NOW: val_seen | Iter 72914 iter 72914, train , nav_error: 0.9134, oracle_error: 0.6144, steps: 26.7421, lengths: 10.4994, success_rate: 0.9144, oracle_rate: 0.9436, spl: 0.8887, val_seen , nav_error: 4.6580, oracle_error: 2.9415, steps: 32.3262, lengths: 12.4686, success_rate: 0.5690, oracle_rate: 0.6631, spl: 0.5303, val_unseen , nav_error: 5.4858, oracle_error: 3.3957, steps: 40.9966, lengths: 14.6623, success_rate: 0.4777, oracle_rate: 0.5854, spl: 0.4369
BEST RESULT TILL NOW: val_unseen | Iter 72914 iter 72914, train , nav_error: 0.9134, oracle_error: 0.6144, steps: 26.7421, lengths: 10.4994, success_rate: 0.9144, oracle_rate: 0.9436, spl: 0.8887, val_seen , nav_error: 4.6580, oracle_error: 2.9415, steps: 32.3262, lengths: 12.4686, success_rate: 0.5690, oracle_rate: 0.6631, spl: 0.5303, val_unseen , nav_error: 5.4858, oracle_error: 3.3957, steps: 40.9966, lengths: 14.6623, success_rate: 0.4777, oracle_rate: 0.5854, spl: 0.4369
iter 73140, train , nav_error: 0.8906, oracle_error: 0.6648, steps: 26.4839, lengths: 10.3034, success_rate: 0.9183, oracle_rate: 0.9408, spl: 0.8965, val_seen , nav_error: 4.5856, oracle_error: 2.9700, steps: 32.2145, lengths: 12.5389, success_rate: 0.5690, oracle_rate: 0.6611, spl: 0.5355, val_unseen , nav_error: 5.3719, oracle_error: 3.4154, steps: 39.0660, lengths: 13.8057, success_rate: 0.4943, oracle_rate: 0.5888, spl: 0.4548
BEST RESULT TILL NOW: val_seen | Iter 73140 iter 73140, train , nav_error: 0.8906, oracle_error: 0.6648, steps: 26.4839, lengths: 10.3034, success_rate: 0.9183, oracle_rate: 0.9408, spl: 0.8965, val_seen , nav_error: 4.5856, oracle_error: 2.9700, steps: 32.2145, lengths: 12.5389, success_rate: 0.5690, oracle_rate: 0.6611, spl: 0.5355, val_unseen , nav_error: 5.3719, oracle_error: 3.4154, steps: 39.0660, lengths: 13.8057, success_rate: 0.4943, oracle_rate: 0.5888, spl: 0.4548
BEST RESULT TILL NOW: val_unseen | Iter 73140 iter 73140, train , nav_error: 0.8906, oracle_error: 0.6648, steps: 26.4839, lengths: 10.3034, success_rate: 0.9183, oracle_rate: 0.9408, spl: 0.8965, val_seen , nav_error: 4.5856, oracle_error: 2.9700, steps: 32.2145, lengths: 12.5389, success_rate: 0.5690, oracle_rate: 0.6611, spl: 0.5355, val_unseen , nav_error: 5.3719, oracle_error: 3.4154, steps: 39.0660, lengths: 13.8057, success_rate: 0.4943, oracle_rate: 0.5888, spl: 0.4548
iter 73344, train , nav_error: 0.9791, oracle_error: 0.7373, steps: 26.3971, lengths: 10.3633, success_rate: 0.9106, oracle_rate: 0.9331, spl: 0.8882, val_seen , nav_error: 4.6322, oracle_error: 3.0431, steps: 30.9099, lengths: 12.0408, success_rate: 0.5642, oracle_rate: 0.6435, spl: 0.5267, val_unseen , nav_error: 5.2268, oracle_error: 3.3815, steps: 39.1562, lengths: 13.9451, success_rate: 0.5015, oracle_rate: 0.5926, spl: 0.4593
BEST RESULT TILL NOW: val_seen | Iter 73140 iter 73140, train , nav_error: 0.8906, oracle_error: 0.6648, steps: 26.4839, lengths: 10.3034, success_rate: 0.9183, oracle_rate: 0.9408, spl: 0.8965, val_seen , nav_error: 4.5856, oracle_error: 2.9700, steps: 32.2145, lengths: 12.5389, success_rate: 0.5690, oracle_rate: 0.6611, spl: 0.5355, val_unseen , nav_error: 5.3719, oracle_error: 3.4154, steps: 39.0660, lengths: 13.8057, success_rate: 0.4943, oracle_rate: 0.5888, spl: 0.4548
BEST RESULT TILL NOW: val_unseen | Iter 73344 iter 73344, train , nav_error: 0.9791, oracle_error: 0.7373, steps: 26.3971, lengths: 10.3633, success_rate: 0.9106, oracle_rate: 0.9331, spl: 0.8882, val_seen , nav_error: 4.6322, oracle_error: 3.0431, steps: 30.9099, lengths: 12.0408, success_rate: 0.5642, oracle_rate: 0.6435, spl: 0.5267, val_unseen , nav_error: 5.2268, oracle_error: 3.3815, steps: 39.1562, lengths: 13.9451, success_rate: 0.5015, oracle_rate: 0.5926, spl: 0.4593
iter 73601, train , nav_error: 0.8133, oracle_error: 0.5839, steps: 26.9515, lengths: 10.5062, success_rate: 0.9261, oracle_rate: 0.9481, spl: 0.9029, val_seen , nav_error: 4.5435, oracle_error: 2.8748, steps: 35.3281, lengths: 13.2668, success_rate: 0.5867, oracle_rate: 0.6748, spl: 0.5479, val_unseen , nav_error: 5.1658, oracle_error: 3.2354, steps: 46.6343, lengths: 16.2851, success_rate: 0.5036, oracle_rate: 0.6130, spl: 0.4503
BEST RESULT TILL NOW: val_seen | Iter 73601 iter 73601, train , nav_error: 0.8133, oracle_error: 0.5839, steps: 26.9515, lengths: 10.5062, success_rate: 0.9261, oracle_rate: 0.9481, spl: 0.9029, val_seen , nav_error: 4.5435, oracle_error: 2.8748, steps: 35.3281, lengths: 13.2668, success_rate: 0.5867, oracle_rate: 0.6748, spl: 0.5479, val_unseen , nav_error: 5.1658, oracle_error: 3.2354, steps: 46.6343, lengths: 16.2851, success_rate: 0.5036, oracle_rate: 0.6130, spl: 0.4503
