iter 1366, val_unseen , nav_error: 7.4017, oracle_error: 4.5885, steps: 25.0477, lengths: 10.1895, cls: 0.4872, ndtw: 0.3403, sdtw: 0.2208, success_rate: 0.3159, oracle_rate: 0.4236, spl: 0.2880, val_seen , nav_error: 7.7617, oracle_error: 5.0709, steps: 26.2351, lengths: 10.1296, cls: 0.5039, ndtw: 0.3438, sdtw: 0.2146, success_rate: 0.2938, oracle_rate: 0.3928, spl: 0.2739, train , nav_error: 7.0807, oracle_error: 4.5326, steps: 25.7860, lengths: 10.1477, cls: 0.5224, ndtw: 0.3695, sdtw: 0.2451, success_rate: 0.3424, oracle_rate: 0.4535, spl: 0.3162
BEST RESULT TILL NOW: val_seen | Iter 1366 iter 1366, val_unseen , nav_error: 7.4017, oracle_error: 4.5885, steps: 25.0477, lengths: 10.1895, cls: 0.4872, ndtw: 0.3403, sdtw: 0.2208, success_rate: 0.3159, oracle_rate: 0.4236, spl: 0.2880, val_seen , nav_error: 7.7617, oracle_error: 5.0709, steps: 26.2351, lengths: 10.1296, cls: 0.5039, ndtw: 0.3438, sdtw: 0.2146, success_rate: 0.2938, oracle_rate: 0.3928, spl: 0.2739, train , nav_error: 7.0807, oracle_error: 4.5326, steps: 25.7860, lengths: 10.1477, cls: 0.5224, ndtw: 0.3695, sdtw: 0.2451, success_rate: 0.3424, oracle_rate: 0.4535, spl: 0.3162
BEST RESULT TILL NOW: val_unseen | Iter 1366 iter 1366, val_unseen , nav_error: 7.4017, oracle_error: 4.5885, steps: 25.0477, lengths: 10.1895, cls: 0.4872, ndtw: 0.3403, sdtw: 0.2208, success_rate: 0.3159, oracle_rate: 0.4236, spl: 0.2880, val_seen , nav_error: 7.7617, oracle_error: 5.0709, steps: 26.2351, lengths: 10.1296, cls: 0.5039, ndtw: 0.3438, sdtw: 0.2146, success_rate: 0.2938, oracle_rate: 0.3928, spl: 0.2739, train , nav_error: 7.0807, oracle_error: 4.5326, steps: 25.7860, lengths: 10.1477, cls: 0.5224, ndtw: 0.3695, sdtw: 0.2451, success_rate: 0.3424, oracle_rate: 0.4535, spl: 0.3162
iter 2707, val_unseen , nav_error: 7.0491, oracle_error: 4.6697, steps: 23.1524, lengths: 9.2210, cls: 0.5140, ndtw: 0.3681, sdtw: 0.2354, success_rate: 0.3252, oracle_rate: 0.4032, spl: 0.3031, val_seen , nav_error: 7.4570, oracle_error: 5.1232, steps: 24.2468, lengths: 9.3850, cls: 0.5191, ndtw: 0.3680, sdtw: 0.2331, success_rate: 0.3164, oracle_rate: 0.3800, spl: 0.2951, train , nav_error: 6.5859, oracle_error: 4.5283, steps: 24.1782, lengths: 9.4160, cls: 0.5495, ndtw: 0.4048, sdtw: 0.2776, success_rate: 0.3760, oracle_rate: 0.4549, spl: 0.3525
BEST RESULT TILL NOW: val_seen | Iter 2707 iter 2707, val_unseen , nav_error: 7.0491, oracle_error: 4.6697, steps: 23.1524, lengths: 9.2210, cls: 0.5140, ndtw: 0.3681, sdtw: 0.2354, success_rate: 0.3252, oracle_rate: 0.4032, spl: 0.3031, val_seen , nav_error: 7.4570, oracle_error: 5.1232, steps: 24.2468, lengths: 9.3850, cls: 0.5191, ndtw: 0.3680, sdtw: 0.2331, success_rate: 0.3164, oracle_rate: 0.3800, spl: 0.2951, train , nav_error: 6.5859, oracle_error: 4.5283, steps: 24.1782, lengths: 9.4160, cls: 0.5495, ndtw: 0.4048, sdtw: 0.2776, success_rate: 0.3760, oracle_rate: 0.4549, spl: 0.3525
BEST RESULT TILL NOW: val_unseen | Iter 2707 iter 2707, val_unseen , nav_error: 7.0491, oracle_error: 4.6697, steps: 23.1524, lengths: 9.2210, cls: 0.5140, ndtw: 0.3681, sdtw: 0.2354, success_rate: 0.3252, oracle_rate: 0.4032, spl: 0.3031, val_seen , nav_error: 7.4570, oracle_error: 5.1232, steps: 24.2468, lengths: 9.3850, cls: 0.5191, ndtw: 0.3680, sdtw: 0.2331, success_rate: 0.3164, oracle_rate: 0.3800, spl: 0.2951, train , nav_error: 6.5859, oracle_error: 4.5283, steps: 24.1782, lengths: 9.4160, cls: 0.5495, ndtw: 0.4048, sdtw: 0.2776, success_rate: 0.3760, oracle_rate: 0.4549, spl: 0.3525
iter 3929, val_unseen , nav_error: 7.2689, oracle_error: 4.6501, steps: 23.0966, lengths: 9.5909, cls: 0.5072, ndtw: 0.3572, sdtw: 0.2333, success_rate: 0.3372, oracle_rate: 0.4278, spl: 0.3053, val_seen , nav_error: 7.6870, oracle_error: 5.1642, steps: 23.2703, lengths: 9.7196, cls: 0.5076, ndtw: 0.3622, sdtw: 0.2109, success_rate: 0.2889, oracle_rate: 0.3839, spl: 0.2704, train , nav_error: 6.7900, oracle_error: 4.5352, steps: 23.8622, lengths: 9.7607, cls: 0.5386, ndtw: 0.3863, sdtw: 0.2615, success_rate: 0.3649, oracle_rate: 0.4605, spl: 0.3351
BEST RESULT TILL NOW: val_seen | Iter 2707 iter 2707, val_unseen , nav_error: 7.0491, oracle_error: 4.6697, steps: 23.1524, lengths: 9.2210, cls: 0.5140, ndtw: 0.3681, sdtw: 0.2354, success_rate: 0.3252, oracle_rate: 0.4032, spl: 0.3031, val_seen , nav_error: 7.4570, oracle_error: 5.1232, steps: 24.2468, lengths: 9.3850, cls: 0.5191, ndtw: 0.3680, sdtw: 0.2331, success_rate: 0.3164, oracle_rate: 0.3800, spl: 0.2951, train , nav_error: 6.5859, oracle_error: 4.5283, steps: 24.1782, lengths: 9.4160, cls: 0.5495, ndtw: 0.4048, sdtw: 0.2776, success_rate: 0.3760, oracle_rate: 0.4549, spl: 0.3525
BEST RESULT TILL NOW: val_unseen | Iter 3929 iter 3929, val_unseen , nav_error: 7.2689, oracle_error: 4.6501, steps: 23.0966, lengths: 9.5909, cls: 0.5072, ndtw: 0.3572, sdtw: 0.2333, success_rate: 0.3372, oracle_rate: 0.4278, spl: 0.3053, val_seen , nav_error: 7.6870, oracle_error: 5.1642, steps: 23.2703, lengths: 9.7196, cls: 0.5076, ndtw: 0.3622, sdtw: 0.2109, success_rate: 0.2889, oracle_rate: 0.3839, spl: 0.2704, train , nav_error: 6.7900, oracle_error: 4.5352, steps: 23.8622, lengths: 9.7607, cls: 0.5386, ndtw: 0.3863, sdtw: 0.2615, success_rate: 0.3649, oracle_rate: 0.4605, spl: 0.3351
iter 5423, val_unseen , nav_error: 6.8734, oracle_error: 4.5286, steps: 23.7412, lengths: 9.3976, cls: 0.5246, ndtw: 0.3816, sdtw: 0.2514, success_rate: 0.3589, oracle_rate: 0.4449, spl: 0.3330, val_seen , nav_error: 6.7072, oracle_error: 4.5223, steps: 25.3869, lengths: 9.9160, cls: 0.5585, ndtw: 0.3960, sdtw: 0.2664, success_rate: 0.3643, oracle_rate: 0.4466, spl: 0.3414, train , nav_error: 6.1126, oracle_error: 4.0446, steps: 25.1370, lengths: 9.8382, cls: 0.5771, ndtw: 0.4298, sdtw: 0.3079, success_rate: 0.4166, oracle_rate: 0.5160, spl: 0.3893
BEST RESULT TILL NOW: val_seen | Iter 5423 iter 5423, val_unseen , nav_error: 6.8734, oracle_error: 4.5286, steps: 23.7412, lengths: 9.3976, cls: 0.5246, ndtw: 0.3816, sdtw: 0.2514, success_rate: 0.3589, oracle_rate: 0.4449, spl: 0.3330, val_seen , nav_error: 6.7072, oracle_error: 4.5223, steps: 25.3869, lengths: 9.9160, cls: 0.5585, ndtw: 0.3960, sdtw: 0.2664, success_rate: 0.3643, oracle_rate: 0.4466, spl: 0.3414, train , nav_error: 6.1126, oracle_error: 4.0446, steps: 25.1370, lengths: 9.8382, cls: 0.5771, ndtw: 0.4298, sdtw: 0.3079, success_rate: 0.4166, oracle_rate: 0.5160, spl: 0.3893
