iter 63312, train , nav_error: 2.7938, oracle_error: 1.9295, steps: 26.1603, lengths: 10.2021, success_rate: 0.7222, oracle_rate: 0.7798, spl: 0.6873, val_seen , nav_error: 5.0564, oracle_error: 3.4332, steps: 27.2214, lengths: 10.4565, success_rate: 0.5269, oracle_rate: 0.6043, spl: 0.4989, val_unseen , nav_error: 5.3311, oracle_error: 3.4956, steps: 27.6850, lengths: 10.5122, success_rate: 0.4828, oracle_rate: 0.5739, spl: 0.4452
BEST RESULT TILL NOW: val_seen | Iter 62835 iter 62835, train , nav_error: 2.8100, oracle_error: 1.8463, steps: 26.0229, lengths: 10.2956, success_rate: 0.7211, oracle_rate: 0.7884, spl: 0.6837, val_seen , nav_error: 5.0701, oracle_error: 3.3303, steps: 26.9481, lengths: 10.5514, success_rate: 0.5357, oracle_rate: 0.6180, spl: 0.5053, val_unseen , nav_error: 5.4080, oracle_error: 3.4452, steps: 26.4857, lengths: 10.3591, success_rate: 0.4781, oracle_rate: 0.5781, spl: 0.4390
BEST RESULT TILL NOW: val_unseen | Iter 63312 iter 63312, train , nav_error: 2.7938, oracle_error: 1.9295, steps: 26.1603, lengths: 10.2021, success_rate: 0.7222, oracle_rate: 0.7798, spl: 0.6873, val_seen , nav_error: 5.0564, oracle_error: 3.4332, steps: 27.2214, lengths: 10.4565, success_rate: 0.5269, oracle_rate: 0.6043, spl: 0.4989, val_unseen , nav_error: 5.3311, oracle_error: 3.4956, steps: 27.6850, lengths: 10.5122, success_rate: 0.4828, oracle_rate: 0.5739, spl: 0.4452
iter 63563, train , nav_error: 2.8060, oracle_error: 1.9782, steps: 25.1400, lengths: 9.9293, success_rate: 0.7194, oracle_rate: 0.7728, spl: 0.6880, val_seen , nav_error: 4.9662, oracle_error: 3.4111, steps: 26.0411, lengths: 10.2373, success_rate: 0.5328, oracle_rate: 0.6082, spl: 0.5056, val_unseen , nav_error: 5.3447, oracle_error: 3.5538, steps: 25.3027, lengths: 9.8761, success_rate: 0.4840, oracle_rate: 0.5653, spl: 0.4476
BEST RESULT TILL NOW: val_seen | Iter 62835 iter 62835, train , nav_error: 2.8100, oracle_error: 1.8463, steps: 26.0229, lengths: 10.2956, success_rate: 0.7211, oracle_rate: 0.7884, spl: 0.6837, val_seen , nav_error: 5.0701, oracle_error: 3.3303, steps: 26.9481, lengths: 10.5514, success_rate: 0.5357, oracle_rate: 0.6180, spl: 0.5053, val_unseen , nav_error: 5.4080, oracle_error: 3.4452, steps: 26.4857, lengths: 10.3591, success_rate: 0.4781, oracle_rate: 0.5781, spl: 0.4390
BEST RESULT TILL NOW: val_unseen | Iter 63563 iter 63563, train , nav_error: 2.8060, oracle_error: 1.9782, steps: 25.1400, lengths: 9.9293, success_rate: 0.7194, oracle_rate: 0.7728, spl: 0.6880, val_seen , nav_error: 4.9662, oracle_error: 3.4111, steps: 26.0411, lengths: 10.2373, success_rate: 0.5328, oracle_rate: 0.6082, spl: 0.5056, val_unseen , nav_error: 5.3447, oracle_error: 3.5538, steps: 25.3027, lengths: 9.8761, success_rate: 0.4840, oracle_rate: 0.5653, spl: 0.4476
iter 63811, train , nav_error: 2.8352, oracle_error: 1.9483, steps: 25.5590, lengths: 10.1065, success_rate: 0.7142, oracle_rate: 0.7739, spl: 0.6800, val_seen , nav_error: 4.9111, oracle_error: 3.3305, steps: 26.3888, lengths: 10.3504, success_rate: 0.5426, oracle_rate: 0.6210, spl: 0.5106, val_unseen , nav_error: 5.3388, oracle_error: 3.4936, steps: 26.2163, lengths: 10.2040, success_rate: 0.4828, oracle_rate: 0.5675, spl: 0.4449
BEST RESULT TILL NOW: val_seen | Iter 63811 iter 63811, train , nav_error: 2.8352, oracle_error: 1.9483, steps: 25.5590, lengths: 10.1065, success_rate: 0.7142, oracle_rate: 0.7739, spl: 0.6800, val_seen , nav_error: 4.9111, oracle_error: 3.3305, steps: 26.3888, lengths: 10.3504, success_rate: 0.5426, oracle_rate: 0.6210, spl: 0.5106, val_unseen , nav_error: 5.3388, oracle_error: 3.4936, steps: 26.2163, lengths: 10.2040, success_rate: 0.4828, oracle_rate: 0.5675, spl: 0.4449
BEST RESULT TILL NOW: val_unseen | Iter 63563 iter 63563, train , nav_error: 2.8060, oracle_error: 1.9782, steps: 25.1400, lengths: 9.9293, success_rate: 0.7194, oracle_rate: 0.7728, spl: 0.6880, val_seen , nav_error: 4.9662, oracle_error: 3.4111, steps: 26.0411, lengths: 10.2373, success_rate: 0.5328, oracle_rate: 0.6082, spl: 0.5056, val_unseen , nav_error: 5.3447, oracle_error: 3.5538, steps: 25.3027, lengths: 9.8761, success_rate: 0.4840, oracle_rate: 0.5653, spl: 0.4476
iter 64006, train , nav_error: 2.8239, oracle_error: 1.8679, steps: 26.4041, lengths: 10.3789, success_rate: 0.7192, oracle_rate: 0.7867, spl: 0.6800, val_seen , nav_error: 4.9539, oracle_error: 3.2469, steps: 27.6631, lengths: 10.7335, success_rate: 0.5299, oracle_rate: 0.6249, spl: 0.4978, val_unseen , nav_error: 5.3621, oracle_error: 3.4259, steps: 27.9340, lengths: 10.7307, success_rate: 0.4806, oracle_rate: 0.5828, spl: 0.4404
BEST RESULT TILL NOW: val_seen | Iter 63811 iter 63811, train , nav_error: 2.8352, oracle_error: 1.9483, steps: 25.5590, lengths: 10.1065, success_rate: 0.7142, oracle_rate: 0.7739, spl: 0.6800, val_seen , nav_error: 4.9111, oracle_error: 3.3305, steps: 26.3888, lengths: 10.3504, success_rate: 0.5426, oracle_rate: 0.6210, spl: 0.5106, val_unseen , nav_error: 5.3388, oracle_error: 3.4936, steps: 26.2163, lengths: 10.2040, success_rate: 0.4828, oracle_rate: 0.5675, spl: 0.4449
