BEST RESULT TILL NOW: val_unseen | Iter 1827 iter 1827, val_unseen , nav_error: 6.8690, oracle_error: 4.5861, steps: 21.4955, lengths: 8.9622, cls: 0.5294, ndtw: 0.4051, sdtw: 0.2598, success_rate: 0.3495, oracle_rate: 0.4181, spl: 0.3272, val_seen , nav_error: 6.9120, oracle_error: 4.7651, steps: 23.1802, lengths: 9.2768, cls: 0.5547, ndtw: 0.4225, sdtw: 0.2753, success_rate: 0.3595, oracle_rate: 0.4251, spl: 0.3432, train , nav_error: 6.4236, oracle_error: 4.4129, steps: 22.6024, lengths: 9.2523, cls: 0.5633, ndtw: 0.4292, sdtw: 0.2887, success_rate: 0.3877, oracle_rate: 0.4678, spl: 0.3662
iter 2278, val_unseen , nav_error: 6.7246, oracle_error: 4.6262, steps: 21.6215, lengths: 8.7653, cls: 0.5313, ndtw: 0.4019, sdtw: 0.2459, success_rate: 0.3350, oracle_rate: 0.4121, spl: 0.3146, val_seen , nav_error: 7.0069, oracle_error: 4.9168, steps: 22.7395, lengths: 9.1979, cls: 0.5387, ndtw: 0.4053, sdtw: 0.2459, success_rate: 0.3379, oracle_rate: 0.3957, spl: 0.3177, train , nav_error: 6.2764, oracle_error: 4.3792, steps: 22.2182, lengths: 9.1743, cls: 0.5689, ndtw: 0.4382, sdtw: 0.2930, success_rate: 0.3896, oracle_rate: 0.4684, spl: 0.3678
BEST RESULT TILL NOW: val_seen | Iter 1827 iter 1827, val_unseen , nav_error: 6.8690, oracle_error: 4.5861, steps: 21.4955, lengths: 8.9622, cls: 0.5294, ndtw: 0.4051, sdtw: 0.2598, success_rate: 0.3495, oracle_rate: 0.4181, spl: 0.3272, val_seen , nav_error: 6.9120, oracle_error: 4.7651, steps: 23.1802, lengths: 9.2768, cls: 0.5547, ndtw: 0.4225, sdtw: 0.2753, success_rate: 0.3595, oracle_rate: 0.4251, spl: 0.3432, train , nav_error: 6.4236, oracle_error: 4.4129, steps: 22.6024, lengths: 9.2523, cls: 0.5633, ndtw: 0.4292, sdtw: 0.2887, success_rate: 0.3877, oracle_rate: 0.4678, spl: 0.3662
BEST RESULT TILL NOW: val_unseen | Iter 1827 iter 1827, val_unseen , nav_error: 6.8690, oracle_error: 4.5861, steps: 21.4955, lengths: 8.9622, cls: 0.5294, ndtw: 0.4051, sdtw: 0.2598, success_rate: 0.3495, oracle_rate: 0.4181, spl: 0.3272, val_seen , nav_error: 6.9120, oracle_error: 4.7651, steps: 23.1802, lengths: 9.2768, cls: 0.5547, ndtw: 0.4225, sdtw: 0.2753, success_rate: 0.3595, oracle_rate: 0.4251, spl: 0.3432, train , nav_error: 6.4236, oracle_error: 4.4129, steps: 22.6024, lengths: 9.2523, cls: 0.5633, ndtw: 0.4292, sdtw: 0.2887, success_rate: 0.3877, oracle_rate: 0.4678, spl: 0.3662
iter 2760, val_unseen , nav_error: 6.4685, oracle_error: 4.3836, steps: 23.5956, lengths: 8.9418, cls: 0.5502, ndtw: 0.4170, sdtw: 0.2712, success_rate: 0.3691, oracle_rate: 0.4406, spl: 0.3451, val_seen , nav_error: 6.6488, oracle_error: 4.6702, steps: 24.7238, lengths: 9.2091, cls: 0.5609, ndtw: 0.4307, sdtw: 0.2695, success_rate: 0.3555, oracle_rate: 0.4261, spl: 0.3404, train , nav_error: 6.0082, oracle_error: 4.2047, steps: 24.5271, lengths: 9.1784, cls: 0.5843, ndtw: 0.4486, sdtw: 0.3137, success_rate: 0.4168, oracle_rate: 0.4849, spl: 0.3930
BEST RESULT TILL NOW: val_seen | Iter 1827 iter 1827, val_unseen , nav_error: 6.8690, oracle_error: 4.5861, steps: 21.4955, lengths: 8.9622, cls: 0.5294, ndtw: 0.4051, sdtw: 0.2598, success_rate: 0.3495, oracle_rate: 0.4181, spl: 0.3272, val_seen , nav_error: 6.9120, oracle_error: 4.7651, steps: 23.1802, lengths: 9.2768, cls: 0.5547, ndtw: 0.4225, sdtw: 0.2753, success_rate: 0.3595, oracle_rate: 0.4251, spl: 0.3432, train , nav_error: 6.4236, oracle_error: 4.4129, steps: 22.6024, lengths: 9.2523, cls: 0.5633, ndtw: 0.4292, sdtw: 0.2887, success_rate: 0.3877, oracle_rate: 0.4678, spl: 0.3662
BEST RESULT TILL NOW: val_unseen | Iter 2760 iter 2760, val_unseen , nav_error: 6.4685, oracle_error: 4.3836, steps: 23.5956, lengths: 8.9418, cls: 0.5502, ndtw: 0.4170, sdtw: 0.2712, success_rate: 0.3691, oracle_rate: 0.4406, spl: 0.3451, val_seen , nav_error: 6.6488, oracle_error: 4.6702, steps: 24.7238, lengths: 9.2091, cls: 0.5609, ndtw: 0.4307, sdtw: 0.2695, success_rate: 0.3555, oracle_rate: 0.4261, spl: 0.3404, train , nav_error: 6.0082, oracle_error: 4.2047, steps: 24.5271, lengths: 9.1784, cls: 0.5843, ndtw: 0.4486, sdtw: 0.3137, success_rate: 0.4168, oracle_rate: 0.4849, spl: 0.3930
iter 3214, val_unseen , nav_error: 6.3228, oracle_error: 4.2048, steps: 23.7595, lengths: 9.3766, cls: 0.5512, ndtw: 0.4161, sdtw: 0.2871, success_rate: 0.3883, oracle_rate: 0.4738, spl: 0.3592, val_seen , nav_error: 6.9481, oracle_error: 4.7364, steps: 24.3888, lengths: 9.7695, cls: 0.5337, ndtw: 0.3983, sdtw: 0.2511, success_rate: 0.3438, oracle_rate: 0.4270, spl: 0.3229, train , nav_error: 6.1761, oracle_error: 4.1755, steps: 24.0369, lengths: 9.6705, cls: 0.5667, ndtw: 0.4333, sdtw: 0.2939, success_rate: 0.3924, oracle_rate: 0.4881, spl: 0.3649
BEST RESULT TILL NOW: val_seen | Iter 1827 iter 1827, val_unseen , nav_error: 6.8690, oracle_error: 4.5861, steps: 21.4955, lengths: 8.9622, cls: 0.5294, ndtw: 0.4051, sdtw: 0.2598, success_rate: 0.3495, oracle_rate: 0.4181, spl: 0.3272, val_seen , nav_error: 6.9120, oracle_error: 4.7651, steps: 23.1802, lengths: 9.2768, cls: 0.5547, ndtw: 0.4225, sdtw: 0.2753, success_rate: 0.3595, oracle_rate: 0.4251, spl: 0.3432, train , nav_error: 6.4236, oracle_error: 4.4129, steps: 22.6024, lengths: 9.2523, cls: 0.5633, ndtw: 0.4292, sdtw: 0.2887, success_rate: 0.3877, oracle_rate: 0.4678, spl: 0.3662
BEST RESULT TILL NOW: val_unseen | Iter 3214 iter 3214, val_unseen , nav_error: 6.3228, oracle_error: 4.2048, steps: 23.7595, lengths: 9.3766, cls: 0.5512, ndtw: 0.4161, sdtw: 0.2871, success_rate: 0.3883, oracle_rate: 0.4738, spl: 0.3592, val_seen , nav_error: 6.9481, oracle_error: 4.7364, steps: 24.3888, lengths: 9.7695, cls: 0.5337, ndtw: 0.3983, sdtw: 0.2511, success_rate: 0.3438, oracle_rate: 0.4270, spl: 0.3229, train , nav_error: 6.1761, oracle_error: 4.1755, steps: 24.0369, lengths: 9.6705, cls: 0.5667, ndtw: 0.4333, sdtw: 0.2939, success_rate: 0.3924, oracle_rate: 0.4881, spl: 0.3649
iter 3659, val_unseen , nav_error: 6.4838, oracle_error: 4.3750, steps: 23.3585, lengths: 9.1020, cls: 0.5457, ndtw: 0.4147, sdtw: 0.2809, success_rate: 0.3785, oracle_rate: 0.4513, spl: 0.3546, val_seen , nav_error: 6.4238, oracle_error: 4.4917, steps: 24.4172, lengths: 9.4103, cls: 0.5618, ndtw: 0.4277, sdtw: 0.2767, success_rate: 0.3800, oracle_rate: 0.4476, spl: 0.3591, train , nav_error: 5.8725, oracle_error: 4.0380, steps: 24.2873, lengths: 9.4431, cls: 0.5849, ndtw: 0.4526, sdtw: 0.3197, success_rate: 0.4282, oracle_rate: 0.5062, spl: 0.4036
