iter 159392, train , nav_error: 0.5968, oracle_error: 0.4692, steps: 26.1644, lengths: 10.2358, success_rate: 0.9491, oracle_rate: 0.9632, spl: 0.9297, val_seen , nav_error: 4.0095, oracle_error: 2.5679, steps: 35.3379, lengths: 13.5839, success_rate: 0.6229, oracle_rate: 0.7013, spl: 0.5819, val_unseen , nav_error: 4.7534, oracle_error: 2.9283, steps: 44.1652, lengths: 16.2611, success_rate: 0.5607, oracle_rate: 0.6547, spl: 0.4974
BEST RESULT TILL NOW: val_seen | Iter 159392 iter 159392, train , nav_error: 0.5968, oracle_error: 0.4692, steps: 26.1644, lengths: 10.2358, success_rate: 0.9491, oracle_rate: 0.9632, spl: 0.9297, val_seen , nav_error: 4.0095, oracle_error: 2.5679, steps: 35.3379, lengths: 13.5839, success_rate: 0.6229, oracle_rate: 0.7013, spl: 0.5819, val_unseen , nav_error: 4.7534, oracle_error: 2.9283, steps: 44.1652, lengths: 16.2611, success_rate: 0.5607, oracle_rate: 0.6547, spl: 0.4974
BEST RESULT TILL NOW: val_unseen | Iter 159392 iter 159392, train , nav_error: 0.5968, oracle_error: 0.4692, steps: 26.1644, lengths: 10.2358, success_rate: 0.9491, oracle_rate: 0.9632, spl: 0.9297, val_seen , nav_error: 4.0095, oracle_error: 2.5679, steps: 35.3379, lengths: 13.5839, success_rate: 0.6229, oracle_rate: 0.7013, spl: 0.5819, val_unseen , nav_error: 4.7534, oracle_error: 2.9283, steps: 44.1652, lengths: 16.2611, success_rate: 0.5607, oracle_rate: 0.6547, spl: 0.4974
iter 159554, train , nav_error: 0.5962, oracle_error: 0.4737, steps: 26.1516, lengths: 10.2144, success_rate: 0.9494, oracle_rate: 0.9623, spl: 0.9303, val_seen , nav_error: 4.0332, oracle_error: 2.5770, steps: 36.2214, lengths: 13.8526, success_rate: 0.6229, oracle_rate: 0.7052, spl: 0.5861, val_unseen , nav_error: 4.7978, oracle_error: 2.9923, steps: 43.7684, lengths: 15.9432, success_rate: 0.5521, oracle_rate: 0.6462, spl: 0.4924
BEST RESULT TILL NOW: val_seen | Iter 159392 iter 159392, train , nav_error: 0.5968, oracle_error: 0.4692, steps: 26.1644, lengths: 10.2358, success_rate: 0.9491, oracle_rate: 0.9632, spl: 0.9297, val_seen , nav_error: 4.0095, oracle_error: 2.5679, steps: 35.3379, lengths: 13.5839, success_rate: 0.6229, oracle_rate: 0.7013, spl: 0.5819, val_unseen , nav_error: 4.7534, oracle_error: 2.9283, steps: 44.1652, lengths: 16.2611, success_rate: 0.5607, oracle_rate: 0.6547, spl: 0.4974
BEST RESULT TILL NOW: val_unseen | Iter 159554 iter 159554, train , nav_error: 0.5962, oracle_error: 0.4737, steps: 26.1516, lengths: 10.2144, success_rate: 0.9494, oracle_rate: 0.9623, spl: 0.9303, val_seen , nav_error: 4.0332, oracle_error: 2.5770, steps: 36.2214, lengths: 13.8526, success_rate: 0.6229, oracle_rate: 0.7052, spl: 0.5861, val_unseen , nav_error: 4.7978, oracle_error: 2.9923, steps: 43.7684, lengths: 15.9432, success_rate: 0.5521, oracle_rate: 0.6462, spl: 0.4924
iter 159827, train , nav_error: 0.6366, oracle_error: 0.4978, steps: 26.3148, lengths: 10.2616, success_rate: 0.9475, oracle_rate: 0.9603, spl: 0.9269, val_seen , nav_error: 3.9471, oracle_error: 2.5553, steps: 35.7591, lengths: 13.6803, success_rate: 0.6288, oracle_rate: 0.7071, spl: 0.5894, val_unseen , nav_error: 4.7696, oracle_error: 2.9678, steps: 43.3465, lengths: 15.8122, success_rate: 0.5551, oracle_rate: 0.6479, spl: 0.4968
BEST RESULT TILL NOW: val_seen | Iter 159827 iter 159827, train , nav_error: 0.6366, oracle_error: 0.4978, steps: 26.3148, lengths: 10.2616, success_rate: 0.9475, oracle_rate: 0.9603, spl: 0.9269, val_seen , nav_error: 3.9471, oracle_error: 2.5553, steps: 35.7591, lengths: 13.6803, success_rate: 0.6288, oracle_rate: 0.7071, spl: 0.5894, val_unseen , nav_error: 4.7696, oracle_error: 2.9678, steps: 43.3465, lengths: 15.8122, success_rate: 0.5551, oracle_rate: 0.6479, spl: 0.4968
BEST RESULT TILL NOW: val_unseen | Iter 159827 iter 159827, train , nav_error: 0.6366, oracle_error: 0.4978, steps: 26.3148, lengths: 10.2616, success_rate: 0.9475, oracle_rate: 0.9603, spl: 0.9269, val_seen , nav_error: 3.9471, oracle_error: 2.5553, steps: 35.7591, lengths: 13.6803, success_rate: 0.6288, oracle_rate: 0.7071, spl: 0.5894, val_unseen , nav_error: 4.7696, oracle_error: 2.9678, steps: 43.3465, lengths: 15.8122, success_rate: 0.5551, oracle_rate: 0.6479, spl: 0.4968
iter 160070, train , nav_error: 0.6296, oracle_error: 0.5022, steps: 26.0823, lengths: 10.1764, success_rate: 0.9464, oracle_rate: 0.9592, spl: 0.9273, val_seen , nav_error: 3.9585, oracle_error: 2.5694, steps: 33.3526, lengths: 12.9664, success_rate: 0.6298, oracle_rate: 0.7003, spl: 0.5925, val_unseen , nav_error: 4.7227, oracle_error: 2.9483, steps: 40.7271, lengths: 14.9254, success_rate: 0.5568, oracle_rate: 0.6509, spl: 0.4995
BEST RESULT TILL NOW: val_seen | Iter 160070 iter 160070, train , nav_error: 0.6296, oracle_error: 0.5022, steps: 26.0823, lengths: 10.1764, success_rate: 0.9464, oracle_rate: 0.9592, spl: 0.9273, val_seen , nav_error: 3.9585, oracle_error: 2.5694, steps: 33.3526, lengths: 12.9664, success_rate: 0.6298, oracle_rate: 0.7003, spl: 0.5925, val_unseen , nav_error: 4.7227, oracle_error: 2.9483, steps: 40.7271, lengths: 14.9254, success_rate: 0.5568, oracle_rate: 0.6509, spl: 0.4995
